,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,8.715898768163788,0.093563038808201,0.0,135_bottom_d,True,3.737753800000064,,4.087331299990183,True,"[0.093563038808201, 0.093563038808201, 0.093563038808201]",False,True,lighter,,0.41756299999542534,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
1,interactor,2,8.622029527357304,-0.218912182444965,0.3,135_top_u,False,,,4.057660699996632,True,"[0.081087817555035, 0.081087817555035, 0.081087817555035]",True,False,lighter,True,0.751333699998213,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
2,empty,3,8.496362901975008,0.02401119046806699,-0.3,none_l,False,,,4.05874550002045,True,"[-0.275988809531933, -0.275988809531933, -0.275988809531933]",True,True,lighter,False,0.48288609998417087,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
3,interactor,4,8.361961260074121,0.34778549961902866,0.0,45_bottom_d,False,,,4.057798299996648,True,"[0.34778549961902866, 0.34778549961902866, 0.34778549961902866]",True,False,lighter,,0.5837843999906909,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
4,empty,5,8.561267313008003,0.041121960082045966,-0.3,none_u,False,,,4.057213899999624,True,"[-0.258878039917954, -0.258878039917954, -0.258878039917954]",True,True,darker,True,0.5518380000139587,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
5,empty,6,8.10386897986045,0.14840741628355003,-0.15,none_u,True,3.6905575999990106,right,4.041927199985366,True,"[-0.0015925837164499634, -0.0015925837164499634, -0.0015925837164499634]",False,False,lighter,False,0.41580240000621416,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
6,empty,7,8.628177655554978,0.03831040910173271,0.3,none_d,True,3.7088924999989104,left,4.059453299996676,True,"[0.3383104091017327, 0.3383104091017327, 0.3383104091017327]",False,False,lighter,True,0.5497861999901943,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
7,interactor,8,8.883592663594749,-0.0626437743556914,-0.15,45_bottom_d,False,,,4.056988500000443,True,"[-0.2126437743556914, -0.2126437743556914, -0.2126437743556914]",True,False,darker,True,0.6338830000022426,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
8,interactor,9,8.148660789778122,0.36161183103919015,-0.3,135_top_l,True,3.690947800001595,,4.0406015000189655,True,"[0.06161183103919016, 0.06161183103919016, 0.06161183103919016]",False,True,lighter,False,0.5346954999840818,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
9,interactor,10,8.466698807112708,0.2478737835660335,-0.3,45_top_r,True,3.7083859000122175,,4.0589543000096455,True,"[-0.05212621643396648, -0.05212621643396648, -0.05212621643396648]",False,True,lighter,False,0.49892019998515025,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
