trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,9.869009111676645,-0.10456492895893119,-0.335,none_d,False,,,3.9159070000168867,True,"[-0.4395649289589312, -0.4395649289589312, -0.4395649289589312]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,2,9.777964605525437,0.20143241904212567,-0.335,135_top_u,False,,,3.8563990000402555,True,"[-0.13356758095787435, -0.13356758095787435, -0.13356758095787435]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,3,8.986666892650524,0.3267879337061839,0.168,135_bottom_r,True,3.575594399997499,,3.842992799996864,True,"[0.4947879337061839, 0.4947879337061839, 0.4947879337061839]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,4,9.791998339295516,0.014877252552014164,0.0,none_l,False,,,3.8571894000051543,True,"[0.014877252552014164, 0.014877252552014164, 0.014877252552014164]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,5,9.270336042970003,0.10229444225372347,-0.335,135_top_l,False,,,3.858171899977606,True,"[-0.23270555774627655, -0.23270555774627655, -0.23270555774627655]",True,False,lighter,False,1.3998646999825723,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,6,9.275359965912921,0.038077022570477945,0.335,none_l,True,3.5735963999759406,right,3.839547000010498,True,"[0.373077022570478, 0.373077022570478, 0.373077022570478]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
interactor,7,9.367782457730286,0.19782273125762712,-0.335,45_top_u,True,3.5743512000190094,,3.841960099991411,True,"[-0.1371772687423729, -0.1371772687423729, -0.1371772687423729]",False,True,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,8,9.549625868476056,0.0760995364230252,-0.168,none_l,False,,,3.8582464000210166,True,"[-0.09190046357697482, -0.09190046357697482, -0.09190046357697482]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,9,8.97458800384197,-0.05471160405332012,0.335,135_top_l,False,,,3.859368200006429,True,"[0.28028839594667987, 0.28028839594667987, 0.28028839594667987]",True,False,darker,False,1.016830300039146,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,10,9.779861745269677,-0.07374960842707648,0.335,none_d,True,3.5747849000035785,right,3.8420700000133365,True,"[0.2612503915729235, 0.2612503915729235, 0.2612503915729235]",False,False,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
