,trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,1,7.5,45_top_r,False,,,4.075462541542947,slower,True,True,False,right,True,1.1168425834039226,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
1,2,7.5,45_top_r,True,3.8708969582803543,,3.9925939582753927,slower,True,False,True,down,True,1.3655882499879226,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
2,3,8.5,45_top_u,True,3.856596416793763,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
3,4,8.5,none_u,True,,left,,,False,False,False,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
4,5,8.0,45_top_r,False,,,4.0218900417676196,faster,True,True,False,right,True,1.315072999917902,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
5,6,7.5,135_bottom_r,False,,,3.9964469167171046,slower,True,True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
6,7,7.5,none_r,False,,,3.980359625071287,faster,True,True,True,right,True,0.7760220000054687,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,8,7.5,135_top_u,True,3.87094841664657,,3.994039500015788,faster,True,False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
8,9,8.0,135_bottom_d,False,,,3.992704708361998,faster,True,True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
9,10,8.5,135_top_u,False,,,,,False,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
10,11,7.5,45_bottom_d,False,,,,,False,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
11,12,8.5,none_l,False,,,3.972502375021577,slower,True,True,True,left,True,0.8495483332080767,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
12,13,7.5,none_r,False,,,,,False,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
13,14,8.5,none_l,True,,left,4.003012791858055,faster,True,False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
14,15,8.0,45_bottom_l,False,,,3.994362166849896,faster,True,True,False,left,True,0.9839954999042676,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
15,16,7.5,135_bottom_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
