trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,8,45_bottom_d,False,,,3.9898330833384534,slower,True,True,True,down,True,0.4738848333217902,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
2,8,135_top_u,False,,,,,False,True,True,up,False,0.4977240833250107,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
3,8,45_bottom_d,True,3.5099075000034645,,3.552943000002415,faster,True,False,False,right,True,0.5741988333174959,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
4,8,45_top_u,True,3.738871958339587,,3.8916783333406784,slower,True,False,False,left,True,0.47483108333835844,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
5,8,135_top_l,True,3.6190277916612104,,,,False,False,False,down,False,0.5505814999924041,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
6,8,45_top_r,True,3.739655416677124,,3.8924207916716114,slower,True,False,False,down,True,0.4864413750037784,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
7,8,none_d,True,,left,3.5522237083496293,faster,True,False,False,right,True,0.44495612499304116,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
8,8,135_bottom_d,True,3.61462437499722,,,,False,False,False,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
9,8,none_r,False,,,,,False,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
10,8,135_bottom_r,False,,,,,False,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
11,8,45_top_r,False,,,3.5746558333339635,faster,True,True,True,right,True,0.5939016250049463,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
12,8,135_bottom_d,False,,,,,False,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
13,8,45_bottom_l,True,3.612531749997288,,,,False,False,False,up,False,0.5504013333265902,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
14,8,45_top_u,False,,,,,False,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
15,8,none_u,False,,,3.9069500416662777,slower,True,True,True,up,True,0.6320067916676635,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
16,8,135_top_l,True,3.7399912500113714,,3.8932024583482416,slower,True,False,False,down,True,0.48992583333165385,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
17,8,none_l,True,,left,3.5470648750051623,faster,True,False,False,down,True,0.5909850000025472,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
18,8,135_top_u,False,,,,,False,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
19,8,135_bottom_r,True,3.745544500008691,,3.895724333342514,slower,True,False,False,up,True,0.5051695833390113,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
20,8,45_bottom_l,False,,,,,False,True,True,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
