trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,8,none_u,True,,right,,,False,False,False,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
2,8,135_top_l,True,3.6336465831846,,,,False,False,True,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
3,8,45_top_u,False,,,3.7936201250413433,faster,True,True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
4,8,none_d,False,,,3.76894208334852,faster,True,True,True,up,False,0.6564629999920726,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
5,8,135_bottom_r,True,3.658308624988422,,,,False,False,True,right,False,0.5502114165574312,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
6,8,none_r,False,,,,,False,True,True,right,False,0.6183562916703522,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,8,135_bottom_d,False,,,,,False,True,False,down,False,0.6757554167415947,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
8,8,none_l,True,,right,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
9,8,45_bottom_l,True,3.6219834584044293,,,,False,False,True,up,False,1.8914793332805857,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
10,8,45_top_u,True,3.619299791753292,,3.7260760833742097,slower,True,False,True,left,True,0.49254175007808954,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
11,8,135_top_l,False,,,3.7472786667058244,faster,True,True,False,left,True,0.5592625415883958,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
12,8,135_top_u,True,3.6631402915809304,,3.777314583188854,faster,True,False,True,right,True,0.4873415833571926,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
13,8,135_top_u,False,,,,,False,True,False,up,False,0.529583458439447,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
14,8,45_bottom_d,True,3.6247661666711792,,3.7312668333761394,faster,True,False,True,right,True,1.723653041641228,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
15,8,45_bottom_l,False,,,3.7755634166533127,slower,True,True,False,left,True,0.48740520840510726,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
16,8,135_bottom_d,False,,,,,False,True,False,down,False,0.47164587501902133,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
17,8,135_bottom_r,False,,,3.7721213749609888,faster,True,True,False,right,True,0.5346227083355188,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
18,8,45_top_r,True,3.6211987084243447,,3.7345332917757332,faster,True,False,True,down,True,0.5109309582039714,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
19,8,45_bottom_d,True,3.6209014584310353,,3.727040375000797,slower,True,False,True,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
20,8,45_top_r,False,,,,,False,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
