trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,10.5,135_bottom_d,True,3.1913294999394566,,3.403061041608453,slower,True,False,True,left,True,0.46327816671691835,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
2,10.5,45_bottom_l,True,3.2649788331473246,,,,False,False,True,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
3,11.0,none_u,False,,,,,False,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,10.5,none_l,True,,right,,,False,False,False,,,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
5,11.0,45_top_u,False,,,3.3875973749672994,slower,True,True,False,up,True,0.4242552084615454,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
6,11.5,45_bottom_d,True,3.2621387083781883,,3.4719930000137538,faster,True,False,True,right,True,0.3827368333004415,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,10.5,135_bottom_d,False,,,3.388981999945827,slower,True,True,False,down,True,0.4449772083899006,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
8,10.5,45_bottom_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
9,11.0,none_u,True,,right,,,False,False,False,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
10,10.5,none_d,True,,left,3.398656791774556,faster,True,False,False,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
11,11.0,45_top_u,True,3.177745833178051,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
12,11.5,45_top_r,False,,,3.382819583406672,faster,True,True,False,right,True,0.4886957500129938,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
13,11.5,45_top_r,False,,,3.3920884166145697,faster,True,True,False,right,True,0.4271841667359695,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
14,11.0,none_r,True,,left,,,False,False,False,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
15,11.0,135_top_u,True,3.175106041599065,,,,False,False,True,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
16,10.5,none_d,False,,,,,False,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
