trial_type,trial_option,bounce,phant_bounce_direction,ball_change,ball_speed
empty,none_l,False,,True,11.0
interactor,45_top_r,False,,False,11.5
interactor,45_top_r,True,,True,10.5
interactor,45_top_r,False,,True,11.0
empty,none_l,False,,False,11.0
empty,none_l,False,,True,10.5
interactor,45_top_r,False,,False,11.0
empty,none_l,False,,False,11.5
empty,none_l,True,left,False,11.0
interactor,45_top_r,False,,True,10.5
empty,none_l,True,left,False,11.5
interactor,45_top_r,False,,True,11.5
interactor,45_top_r,False,,False,10.5
interactor,45_top_r,True,,False,11.5
empty,none_l,True,left,True,11.5
empty,none_l,True,left,True,10.5
interactor,45_top_r,True,,False,10.5
empty,none_l,False,,True,11.5
empty,none_l,True,left,False,10.5
empty,none_l,False,,False,10.5
empty,none_l,True,left,True,11.0
interactor,45_top_r,True,,True,11.0
interactor,45_top_r,True,,True,11.5
interactor,45_top_r,True,,False,11.0
