trial_type,trial_option,bounce,phant_bounce_direction,ball_change,ball_speed
interactor,45_top_r,False,,False,5.5
interactor,45_top_r,True,,True,5.25
empty,none_l,False,,False,5.5
interactor,45_top_r,False,,True,5.5
empty,none_l,True,left,True,5.75
interactor,45_top_r,True,,False,5.5
empty,none_l,True,left,True,5.5
empty,none_l,False,,True,5.75
interactor,45_top_r,True,,True,5.5
interactor,45_top_r,False,,True,5.75
empty,none_l,True,left,False,5.25
empty,none_l,False,,True,5.5
empty,none_l,False,,False,5.25
interactor,45_top_r,True,,False,5.75
empty,none_l,True,left,False,5.75
empty,none_l,False,,False,5.75
interactor,45_top_r,False,,True,5.25
empty,none_l,False,,True,5.25
interactor,45_top_r,False,,False,5.25
empty,none_l,True,left,False,5.5
empty,none_l,True,left,True,5.25
interactor,45_top_r,False,,False,5.75
interactor,45_top_r,True,,False,5.25
interactor,45_top_r,True,,True,5.75
