,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,8.740714780164119,0.340008656259275,0.35,none_l,True,3.636759599961806,right,3.9542087999871,True,"[0.690008656259275, 0.690008656259275, 0.690008656259275]",False,False,lighter,True,0.451026999973692,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
1,interactor,2,9.067638788582062,-0.006396521909854347,-0.35,135_top_u,True,3.6582084999536164,,3.9746007999638095,True,"[-0.3563965219098543, -0.3563965219098543, -0.3563965219098543]",False,True,darker,True,0.5005699000321329,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,interactor,3,8.934810181478884,-0.069691250996543,0.175,135_top_u,False,,,3.966491799976211,True,"[0.10530874900345699, 0.10530874900345699, 0.10530874900345699]",True,False,lighter,True,0.4658432000433095,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
3,interactor,4,8.937854955783223,0.5073832130134608,-0.175,45_top_r,True,3.6476526000187732,,3.965377599990461,True,"[0.3323832130134608, 0.3323832130134608, 0.3323832130134608]",False,True,lighter,False,0.5005536000244319,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
4,empty,5,8.808794987364067,0.288118311502981,0.35,none_l,True,3.632976500026416,right,3.9496848999988288,True,"[0.6381183115029809, 0.6381183115029809, 0.6381183115029809]",False,False,lighter,True,0.6161450000363402,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
5,empty,6,8.999299155488222,0.639139248343247,0.35,none_d,False,,,3.9671610000077635,True,"[0.989139248343247, 0.989139248343247, 0.989139248343247]",True,True,lighter,True,0.566713499953039,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
6,interactor,7,8.747824308525562,0.08234972145444831,0.0,135_top_u,False,,,3.964981000055559,True,"[0.08234972145444831, 0.08234972145444831, 0.08234972145444831]",True,False,darker,,0.6679095999570563,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
7,empty,8,8.79065766768716,0.11511836371930881,-0.175,none_u,True,3.633346199989319,right,3.9495266000158153,True,"[-0.05988163628069118, -0.05988163628069118, -0.05988163628069118]",False,False,lighter,False,0.7337937999982387,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
8,interactor,9,8.882557979438353,0.10999946150691046,0.175,45_bottom_d,True,3.6501284000114538,,3.9667822999763303,True,"[0.28499946150691047, 0.28499946150691047, 0.28499946150691047]",False,True,lighter,True,0.4504509000107646,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
9,interactor,10,9.033860565561284,0.1370158040527765,-0.175,135_top_l,False,,,3.9663513000123203,True,"[-0.03798419594722349, -0.03798419594722349, -0.03798419594722349]",True,False,darker,True,0.5498487000004388,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
