,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,6.578522920171166,0.45,0.0,135_bottom_d,True,3.978098208201118,,4.24948016658891,True,"[0.45, 0.45, 0.45]",False,True,darker,,0.7784706250531599,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
1,interactor,2,6.349046577792129,0.45,0.2,135_bottom_r,False,,,4.373048625071533,True,"[0.65, 0.65, 0.65]",True,False,lighter,True,1.0429862082237378,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
2,empty,3,6.803132862542516,0.45,-0.2,none_d,False,,,4.202783583314158,True,"[0.25, 0.25, 0.25]",True,True,darker,True,0.6914982083253562,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
3,empty,4,6.644359855053545,0.45,0.0,none_d,False,,,4.304341375012882,True,"[0.45, 0.45, 0.45]",True,True,darker,,0.8512089166324586,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
4,interactor,5,6.116758451098565,0.45,-0.1,45_bottom_d,True,3.938628458417952,,4.202590208384208,True,"[0.35, 0.35, 0.35]",False,True,darker,True,0.7158502499805763,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
5,interactor,6,6.574198033128037,0.45,0.1,135_top_l,False,,,4.199932416551746,True,"[0.55, 0.55, 0.55]",True,False,lighter,True,0.7792649167822674,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
6,empty,7,6.483491095250052,0.45,-0.1,none_l,True,3.940735875046812,right,4.19875258335378,True,"[0.35, 0.35, 0.35]",False,False,lighter,False,0.7032941250363365,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
7,empty,8,6.661404623375592,0.45,0.1,none_r,True,3.9542129583423957,right,4.221754374913871,True,"[0.55, 0.55, 0.55]",False,False,lighter,True,0.6711319584865123,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
8,empty,9,6.456028866996933,0.45,-0.2,none_u,True,3.977350791567005,right,4.24863495817408,True,"[0.25, 0.25, 0.25]",False,False,darker,True,0.9586056667612866,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
9,interactor,10,6.49231901953793,0.45,0.0,45_bottom_l,True,4.030486208386719,,4.315116708399728,True,"[0.45, 0.45, 0.45]",False,True,darker,,0.7815832915948704,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
10,interactor,11,6.740169851777336,0.45,0.1,135_bottom_r,False,,,4.368420874932781,True,"[0.55, 0.55, 0.55]",True,False,lighter,True,0.6144538749940693,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
11,interactor,12,6.155540313686705,0.45,0.2,45_bottom_d,False,,,4.256272291531786,True,"[0.65, 0.65, 0.65]",True,False,darker,False,0.7924325834028423,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
12,empty,13,6.103328737623049,0.45,-0.1,none_r,False,,,4.221075208275579,True,"[0.35, 0.35, 0.35]",True,True,darker,True,0.838250125059858,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
13,empty,14,6.467332267050853,0.45,-0.2,none_l,True,3.950645958306268,left,4.210539625026286,True,"[0.25, 0.25, 0.25]",False,False,darker,True,0.7197282499400899,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
14,empty,15,6.515505698643343,0.45,-0.1,none_r,True,3.9560272082453594,right,4.22772308322601,True,"[0.35, 0.35, 0.35]",False,False,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
15,interactor,16,6.950313494769975,0.45,0.0,45_top_r,True,4.014018666697666,,4.278587291599251,True,"[0.45, 0.45, 0.45]",False,True,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
16,empty,17,6.72700034124841,0.45,-0.1,none_l,False,,,4.215553791727871,True,"[0.35, 0.35, 0.35]",True,True,darker,True,0.8333288750145584,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
17,interactor,18,6.407524307310669,0.45,-0.1,45_top_u,True,4.051864583278075,,4.313623416703194,True,"[0.35, 0.35, 0.35]",False,True,darker,True,0.69046375004109,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
18,empty,19,6.066498760974044,0.45,0.0,none_u,True,3.9564229584066197,left,4.230518833384849,True,"[0.45, 0.45, 0.45]",False,False,darker,,0.5435265833511949,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
19,interactor,20,6.695568759552534,0.45,-0.2,135_top_u,False,,,4.25734408327844,True,"[0.25, 0.25, 0.25]",True,False,darker,True,0.6607030832674354,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
