trial_type,trial_option,bounce,phant_bounce_direction,ball_change,ball_speed
empty,none_d,True,right,True,6.0
interactor,135_bottom_r,False,,True,6.5
empty,none_r,True,left,False,6.25
empty,none_r,False,,False,6.0
interactor,135_bottom_d,False,,False,6.0
empty,none_l,True,right,False,6.0
interactor,135_bottom_d,True,,False,6.0
interactor,135_top_l,True,,False,6.0
empty,none_r,False,,False,6.5
interactor,135_top_l,False,,True,6.0
interactor,135_top_l,True,,False,6.25
interactor,135_bottom_r,True,,False,6.5
interactor,45_top_r,False,,True,6.25
interactor,135_top_l,True,,False,6.5
empty,none_u,True,right,True,6.25
empty,none_u,True,right,False,6.5
empty,none_l,False,,True,6.25
empty,none_l,False,,False,6.0
interactor,135_bottom_d,False,,False,6.25
empty,none_l,False,,False,6.5
empty,none_u,False,,False,6.5
interactor,45_top_r,True,,True,6.5
interactor,135_bottom_r,False,,True,6.25
empty,none_d,False,,True,6.0
empty,none_l,True,left,True,6.25
interactor,45_bottom_d,True,,False,6.25
interactor,135_top_u,False,,False,6.25
empty,none_r,True,left,False,6.5
empty,none_r,False,,True,6.25
interactor,45_top_u,False,,True,6.0
interactor,45_bottom_l,False,,True,6.0
interactor,135_top_u,False,,True,6.5
interactor,45_top_r,False,,False,6.25
interactor,45_bottom_d,False,,True,6.0
empty,none_d,False,,False,6.0
interactor,45_top_r,True,,False,6.0
interactor,135_bottom_r,False,,True,6.0
interactor,135_bottom_d,True,,True,6.5
empty,none_d,False,,False,6.25
empty,none_l,False,,False,6.5
interactor,45_bottom_d,True,,True,6.5
interactor,45_top_r,False,,False,6.5
interactor,45_bottom_d,True,,False,6.0
interactor,45_bottom_d,True,,True,6.0
empty,none_r,True,left,True,6.0
empty,none_r,False,,False,6.5
empty,none_u,True,left,False,6.0
interactor,135_bottom_d,False,,True,6.25
interactor,45_bottom_l,True,,False,6.25
empty,none_d,False,,True,6.25
interactor,135_bottom_d,True,,False,6.5
empty,none_d,False,,False,6.25
empty,none_u,True,right,True,6.0
interactor,45_top_u,False,,True,6.5
interactor,135_top_u,True,,True,6.5
empty,none_d,False,,True,6.5
empty,none_l,True,left,False,6.0
empty,none_u,False,,True,6.25
interactor,45_bottom_l,False,,False,6.5
empty,none_d,True,right,False,6.0
empty,none_r,False,,True,6.25
interactor,135_bottom_r,True,,True,6.5
empty,none_d,False,,False,6.0
interactor,135_top_u,True,,True,6.0
empty,none_d,True,right,True,6.25
empty,none_l,False,,False,6.25
interactor,45_bottom_d,False,,True,6.25
empty,none_d,True,right,True,6.0
interactor,45_top_u,False,,True,6.25
interactor,45_bottom_d,False,,False,6.25
interactor,45_top_r,False,,False,6.0
interactor,45_bottom_l,False,,False,6.0
interactor,45_top_u,True,,True,6.25
interactor,135_bottom_d,True,,True,6.25
empty,none_l,True,right,True,6.25
empty,none_l,True,left,True,6.0
empty,none_d,False,,True,6.25
empty,none_l,True,left,False,6.5
interactor,45_bottom_l,False,,False,6.25
empty,none_d,True,right,False,6.25
interactor,135_bottom_d,True,,True,6.0
interactor,135_top_u,True,,True,6.25
empty,none_d,False,,False,6.5
empty,none_d,False,,False,6.5
empty,none_d,True,right,False,6.0
interactor,135_bottom_r,True,,True,6.0
interactor,135_bottom_d,True,,False,6.25
interactor,135_top_u,True,,False,6.25
interactor,135_bottom_r,True,,False,6.25
empty,none_r,True,left,True,6.0
empty,none_r,False,,True,6.5
interactor,135_top_l,True,,True,6.0
empty,none_l,False,,False,6.0
empty,none_u,False,,False,6.0
empty,none_r,True,left,False,6.0
interactor,45_bottom_d,False,,True,6.5
interactor,135_top_u,False,,True,6.0
empty,none_l,True,right,True,6.0
empty,none_r,True,left,False,6.0
empty,none_l,False,,True,6.5
empty,none_u,False,,False,6.25
interactor,135_top_u,False,,True,6.25
empty,none_d,True,right,True,6.25
empty,none_r,True,left,False,6.25
interactor,135_top_l,False,,False,6.25
empty,none_d,True,right,False,6.25
empty,none_r,True,left,True,6.25
interactor,45_bottom_l,True,,False,6.0
interactor,135_bottom_r,False,,False,6.0
empty,none_d,True,right,True,6.5
interactor,45_bottom_d,False,,False,6.5
empty,none_u,False,,True,6.5
empty,none_r,False,,True,6.0
empty,none_u,True,right,True,6.5
interactor,135_top_u,False,,False,6.5
empty,none_u,False,,True,6.0
empty,none_d,True,right,False,6.5
empty,none_r,True,left,True,6.5
interactor,45_bottom_l,True,,True,6.0
interactor,45_top_u,False,,False,6.5
interactor,135_bottom_r,False,,False,6.25
interactor,135_bottom_d,False,,False,6.5
empty,none_u,True,left,True,6.5
interactor,135_top_l,True,,True,6.5
empty,none_l,False,,True,6.0
interactor,135_top_l,True,,True,6.25
interactor,45_top_r,True,,True,6.25
empty,none_r,True,left,True,6.5
empty,none_l,False,,True,6.5
empty,none_u,True,left,False,6.25
empty,none_r,False,,True,6.0
empty,none_l,True,right,False,6.5
empty,none_r,False,,False,6.25
interactor,135_bottom_r,True,,True,6.25
interactor,45_bottom_l,False,,True,6.25
interactor,135_top_l,False,,True,6.25
empty,none_r,False,,True,6.5
empty,none_u,False,,False,6.5
interactor,135_top_l,False,,False,6.0
empty,none_u,False,,False,6.0
interactor,45_top_u,True,,False,6.0
empty,none_u,False,,True,6.25
interactor,45_top_u,True,,False,6.25
interactor,135_top_l,False,,True,6.5
interactor,45_bottom_l,True,,True,6.5
interactor,45_top_r,False,,True,6.0
empty,none_l,False,,True,6.25
interactor,135_top_u,True,,False,6.0
interactor,45_bottom_d,True,,True,6.25
interactor,135_bottom_r,True,,False,6.0
empty,none_u,True,left,True,6.0
empty,none_l,False,,True,6.0
empty,none_d,True,right,True,6.5
empty,none_l,True,left,False,6.25
empty,none_r,False,,False,6.0
empty,none_r,False,,False,6.25
empty,none_u,False,,True,6.5
empty,none_d,False,,True,6.5
empty,none_u,False,,False,6.25
interactor,45_bottom_l,False,,True,6.5
interactor,45_top_r,False,,True,6.5
interactor,135_top_u,False,,False,6.0
interactor,45_top_r,True,,True,6.0
empty,none_l,True,right,True,6.5
empty,none_u,True,left,True,6.25
interactor,135_bottom_r,False,,False,6.5
interactor,45_top_u,True,,True,6.0
interactor,45_top_r,True,,False,6.25
interactor,45_top_u,True,,False,6.5
empty,none_l,True,left,True,6.5
empty,none_d,True,right,False,6.5
empty,none_l,True,right,False,6.25
empty,none_u,True,right,False,6.0
interactor,135_bottom_d,False,,True,6.0
interactor,45_top_u,False,,False,6.0
interactor,45_top_u,False,,False,6.25
empty,none_d,False,,True,6.0
interactor,45_top_r,True,,False,6.5
empty,none_u,False,,True,6.0
empty,none_r,True,left,False,6.5
empty,none_r,True,left,True,6.25
empty,none_u,True,left,False,6.5
interactor,45_top_u,True,,True,6.5
interactor,135_top_l,False,,False,6.5
interactor,135_top_u,True,,False,6.5
interactor,45_bottom_l,True,,False,6.5
empty,none_l,False,,False,6.25
interactor,45_bottom_d,False,,False,6.0
interactor,45_bottom_d,True,,False,6.5
empty,none_u,True,right,False,6.25
interactor,45_bottom_l,True,,True,6.25
