,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,6.6525272735269505,0.5,-0.15,45_bottom_l,False,,,4.247091583441943,True,"[0.35, 0.35, 0.35]",True,False,darker,True,0.848950874991715,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
1,interactor,2,6.792141342971116,0.5,0.3,135_top_l,False,,,4.274663541815244,True,"[0.8, 0.8, 0.8]",True,False,lighter,True,0.6129296249710023,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
2,interactor,3,6.36935482068863,0.5,0.3,45_top_u,True,3.973719000001438,,4.248103499994613,True,"[0.8, 0.8, 0.8]",False,True,lighter,True,0.5720410000067204,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
3,empty,4,6.4740540075840824,0.5,0.3,none_d,True,3.966463791555725,left,4.231722166528925,True,"[0.8, 0.8, 0.8]",False,False,lighter,True,0.44583395845256746,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
4,interactor,5,6.272517766130493,0.5,-0.3,135_top_l,True,4.0116933333920315,,4.2828890417004,True,"[0.2, 0.2, 0.2]",False,True,darker,True,0.41448575002141297,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
5,empty,6,6.973237742044455,0.5,0.3,none_r,False,,,4.250293833320029,True,"[0.8, 0.8, 0.8]",True,True,lighter,True,0.5848962083691731,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
6,empty,7,6.668906610566319,0.5,-0.3,none_u,False,,,4.265171375009231,True,"[0.2, 0.2, 0.2]",True,True,darker,True,0.5752924582920969,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
7,interactor,8,7.059157945900747,0.5,0.0,45_top_r,False,,,4.24270633328706,True,"[0.5, 0.5, 0.5]",True,False,lighter,,0.884417291614227,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
8,interactor,9,6.443278604526812,0.5,-0.15,135_top_u,True,3.972749499953352,,4.244066666578874,True,"[0.35, 0.35, 0.35]",False,True,lighter,False,0.8508105834480375,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
9,empty,10,6.771237561771199,0.5,-0.15,none_l,True,4.048379041603766,left,4.356434041634202,True,"[0.35, 0.35, 0.35]",False,False,darker,True,0.6885657083475962,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
