trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,6.68784996408014,0.45,0.4,none_r,False,,,4.320738499984145,True,"[0.8500000000000001, 0.8500000000000001, 0.8500000000000001]",True,True,darker,False,0.4676658333046362,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,2,6.0507379948705635,0.45,-0.4,45_top_u,False,,,4.258486833423376,True,"[0.04999999999999999, 0.04999999999999999, 0.04999999999999999]",True,False,darker,True,0.9093059999868274,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,3,6.350359683866023,0.45,0.0,none_d,True,4.028700083377771,right,4.342088500037789,True,"[0.45, 0.45, 0.45]",False,False,lighter,,0.9617940416792408,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,4,6.8026954447783154,0.45,0.4,none_u,False,,,4.288915458251722,True,"[0.8500000000000001, 0.8500000000000001, 0.8500000000000001]",True,True,darker,False,0.6955225833225995,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,5,6.614802926981899,0.45,0.2,45_top_r,False,,,4.270069083431736,True,"[0.65, 0.65, 0.65]",True,False,lighter,True,1.0467019166098908,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,6,6.4763680769290906,0.45,-0.2,135_top_l,True,3.994970624917187,,4.260652874945663,True,"[0.25, 0.25, 0.25]",False,True,darker,True,0.9290071666473523,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,7,6.24601254360309,0.45,-0.4,none_u,True,3.981239250046201,left,4.2479126250837,True,"[0.04999999999999999, 0.04999999999999999, 0.04999999999999999]",False,False,lighter,False,0.7217043749988079,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,8,6.34268270500268,0.45,0.0,none_d,True,3.99656449991744,right,4.293561999918893,True,"[0.45, 0.45, 0.45]",False,False,darker,,0.7725010417634621,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,9,6.225629324019307,0.45,0.2,none_d,False,,,4.264875583350658,True,"[0.65, 0.65, 0.65]",True,True,darker,False,0.960982249933295,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,10,6.3057370366108945,0.45,0.4,45_top_r,True,4.079505291651003,,4.374454916571267,True,"[0.8500000000000001, 0.8500000000000001, 0.8500000000000001]",False,True,lighter,True,1.4948615834582597,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,11,6.8651816833808335,0.45,-0.4,135_top_u,False,,,4.333314500050619,True,"[0.04999999999999999, 0.04999999999999999, 0.04999999999999999]",True,False,darker,True,0.5771794165484607,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
empty,12,6.386424627585601,0.45,-0.4,none_l,False,,,4.251137624960393,True,"[0.04999999999999999, 0.04999999999999999, 0.04999999999999999]",True,True,darker,True,0.6670073333662003,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,13,6.661084509872115,0.45,0.2,none_l,True,4.015335416654125,right,4.2935515833087265,True,"[0.65, 0.65, 0.65]",False,False,lighter,True,0.7388325416250154,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
interactor,14,6.323539372784195,0.45,-0.4,135_top_u,True,3.982939791632816,,4.252169333398342,True,"[0.04999999999999999, 0.04999999999999999, 0.04999999999999999]",False,True,darker,True,0.7366693333024159,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,15,6.331733798702095,0.45,0.2,45_bottom_d,False,,,4.268175874953158,True,"[0.65, 0.65, 0.65]",True,False,lighter,True,0.8831273750402033,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,16,6.354050688717646,0.45,0.4,135_bottom_r,False,,,4.385986250010319,True,"[0.8500000000000001, 0.8500000000000001, 0.8500000000000001]",True,False,lighter,True,0.5736571666784585,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,17,6.3647887569776,0.45,-0.4,none_r,True,4.1931367084616795,left,4.4685432084370404,True,"[0.04999999999999999, 0.04999999999999999, 0.04999999999999999]",False,False,lighter,False,0.6353290416300297,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,18,6.547777060813757,0.45,-0.2,135_bottom_d,True,4.129072208306752,,4.431059708353132,True,"[0.25, 0.25, 0.25]",False,True,darker,True,0.6142664999933913,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,19,6.7508099567524456,0.45,-0.2,45_bottom_l,True,4.002054999931715,,4.270194499986246,True,"[0.25, 0.25, 0.25]",False,True,darker,True,0.8733338749734685,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,20,6.2684525922408,0.45,0.2,none_l,False,,,4.310656624962576,True,"[0.65, 0.65, 0.65]",True,True,lighter,True,0.6070295000681654,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
