,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,8.701159971808218,0.13195576781956866,-0.15,45_top_r,False,,,4.195981400000164,True,"[-0.01804423218043133, -0.01804423218043133, -0.01804423218043133]",True,False,darker,True,0.7019173000007868,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
1,interactor,2,8.935919926192822,-0.07502284118727279,-0.15,45_top_r,True,3.8839331999770366,,4.167369199974928,True,"[-0.22502284118727278, -0.22502284118727278, -0.22502284118727278]",False,True,darker,True,0.6009095000044908,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
2,interactor,3,9.181164078581514,0.1754683666816086,-0.15,135_top_l,True,3.883468299987726,,4.165749100007815,True,"[0.025468366681608595, 0.025468366681608595, 0.025468366681608595]",False,True,darker,True,0.6837854000041261,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
3,empty,4,8.833225731570678,0.09453205825676511,0.3,none_u,True,3.8829507999762427,left,4.167075899982592,True,"[0.3945320582567651, 0.3945320582567651, 0.3945320582567651]",False,False,lighter,True,0.7502863999980036,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
4,empty,5,8.790901752982808,0.1013664212602764,0.15,none_u,True,3.8821674000064377,left,4.166085600008955,True,"[0.2513664212602764, 0.2513664212602764, 0.2513664212602764]",False,False,lighter,True,0.6169970000046305,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
5,interactor,6,9.20316595513097,-0.013358627834052256,-0.15,45_top_u,False,,,4.1828068000031635,True,"[-0.16335862783405225, -0.16335862783405225, -0.16335862783405225]",True,False,darker,True,0.5835258000006434,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
6,empty,7,8.92076753618708,0.028272302724266854,0.0,none_d,True,3.8823896999820136,right,4.1657293000025675,True,"[0.028272302724266854, 0.028272302724266854, 0.028272302724266854]",False,False,lighter,,0.5502623999782372,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
7,interactor,8,9.266872092456648,0.016777278788051325,0.0,45_bottom_l,True,3.8833350999921095,,4.166342100012116,True,"[0.016777278788051325, 0.016777278788051325, 0.016777278788051325]",False,True,darker,,0.5172860999882687,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
8,empty,9,9.082936659195655,0.002982104624282278,0.3,none_u,False,,,4.183375699998578,True,"[0.30298210462428227, 0.30298210462428227, 0.30298210462428227]",True,True,lighter,True,0.5655620000034105,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
9,interactor,10,9.016833908461134,0.2816236417388877,-0.15,135_top_u,True,3.8757384000055026,,4.158989999996265,True,"[0.13162364173888771, 0.13162364173888771, 0.13162364173888771]",False,True,lighter,False,0.48516820001532324,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
