trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,1,9.043861408969075,0.07875547825094739,0.4,135_bottom_d,False,,,3.9509168999793474,True,"[0.47875547825094744, 0.47875547825094744, 0.47875547825094744]",True,False,lighter,True,0.46793590000015683,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,2,9.048511393864473,0.16038226700217775,0.0,none_r,False,,,3.9414859999960754,True,"[0.16038226700217775, 0.16038226700217775, 0.16038226700217775]",True,True,darker,,0.48246410000137985,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,3,8.843904908477942,0.09699824092290035,0.2,45_bottom_l,True,3.625178100017365,,3.925508600019384,True,"[0.2969982409229004, 0.2969982409229004, 0.2969982409229004]",False,True,darker,False,0.5997060999798123,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,4,8.764082674925904,-0.09501975178013589,0.2,45_top_u,True,3.6243588000070304,,3.924704000004567,True,"[0.10498024821986413, 0.10498024821986413, 0.10498024821986413]",False,True,lighter,True,0.601538699993398,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,5,8.637186945636138,-0.012161634655269565,-0.4,none_r,False,,,3.9405100000149105,True,"[-0.41216163465526956, -0.41216163465526956, -0.41216163465526956]",True,True,darker,True,0.45000089998939075,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,6,8.948424033462071,0.1888281504666805,0.0,none_u,True,3.6245151000039186,right,3.925685499998508,True,"[0.1888281504666805, 0.1888281504666805, 0.1888281504666805]",False,False,lighter,,0.932505000004312,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
interactor,7,9.115658044532763,0.3950040641431938,0.0,135_top_u,False,,,3.939796299993759,True,"[0.3950040641431938, 0.3950040641431938, 0.3950040641431938]",True,False,lighter,,0.6333807999908458,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,8,8.918432777941867,0.17189801287126102,0.4,135_bottom_r,False,,,3.9423435000062454,True,"[0.5718980128712611, 0.5718980128712611, 0.5718980128712611]",True,False,lighter,True,0.6318784999893978,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,9,9.13420590855816,0.008664697261895088,-0.2,none_d,False,,,3.9422303999890573,True,"[-0.19133530273810492, -0.19133530273810492, -0.19133530273810492]",True,True,darker,True,0.5508740000077523,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,10,8.771844029314275,-0.024386335419212257,-0.2,none_l,True,3.625100100005511,right,3.925408100010827,True,"[-0.22438633541921227, -0.22438633541921227, -0.22438633541921227]",False,False,darker,True,0.5822508999845013,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,11,8.9303396347986,0.024731876294658228,-0.4,none_r,True,3.6256668000132777,left,3.9257835999887902,True,"[-0.3752681237053418, -0.3752681237053418, -0.3752681237053418]",False,False,space,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
