trial_type,trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,6.5,none_l,True,3.9829780000727624,left,4.2533080416033044,True,[0.45  0.45  0.695],False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,2,6.0,none_l,False,,,,False,,True,True,left,False,0.5121552082709968,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,3,6.0,135_top_u,True,3.9502904166001827,,4.227149291662499,True,[0.45  0.45  0.695],False,True,right,True,0.41747570829465985,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,4,6.5,135_bottom_d,True,3.9666246250271797,,4.22958429181017,True,[0.45  0.45  0.695],False,True,left,True,0.5833740415982902,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,5,6.25,45_top_r,True,3.9484608749626204,,4.215422541601583,True,[0.45  0.45  0.695],False,True,down,True,0.4179851666558534,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,6,6.5,135_bottom_d,False,,,,False,,True,False,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,7,6.25,45_bottom_l,False,,,,False,,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,8,6.25,45_top_r,False,,,,False,,True,False,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,9,6.0,135_bottom_r,True,3.9424960415344685,,4.217549041612074,True,[0.45  0.45  0.695],False,True,up,True,0.5296671249670908,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,10,6.0,45_top_u,True,4.028898166608997,,,False,,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,11,6.0,none_l,True,3.9343998749973252,left,,False,,False,False,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,12,6.25,135_top_l,True,3.9626665000105277,,,False,,False,True,down,False,0.4852512915385887,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,13,6.0,135_bottom_r,True,3.977061750018038,,,False,,False,True,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,14,6.25,none_l,False,,,4.229339958168566,True,[0.45  0.45  0.695],True,True,left,True,0.4758092500269413,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,15,6.5,none_u,True,3.958796333288774,left,4.222267249948345,True,[0.45  0.45  0.695],False,False,left,True,0.4792884583584964,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,16,6.0,135_bottom_d,True,3.9801396667025983,,,False,,False,True,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,17,6.5,none_r,True,3.955838958383538,right,,False,,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
interactor,18,6.25,135_bottom_r,True,3.935992124956101,,,False,,False,True,up,False,0.4435560832498595,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,19,6.25,135_top_u,False,,,4.240442999987863,True,[0.45  0.45  0.695],True,False,up,True,0.4809581666486338,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,20,6.25,135_top_u,False,,,,False,,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,21,6.25,135_top_u,True,3.9547466250369325,,4.2153731666039675,True,[0.45  0.45  0.695],False,True,right,True,0.45812166668474674,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,22,6.5,45_top_r,True,3.9525180417113006,,,False,,False,True,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,23,6.25,45_bottom_l,True,3.9491415416123345,,4.222366875037551,True,[0.45  0.45  0.695],False,True,up,True,0.43467641656752676,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,24,6.5,none_d,False,,,,False,,True,True,,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,25,6.5,135_top_u,True,3.967319958261214,,4.2391503332182765,True,[0.45  0.45  0.695],False,True,right,True,0.44813862501177937,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,26,6.5,none_l,False,,,4.24940958339721,True,[0.45  0.45  0.695],True,True,left,True,0.4617794166551903,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
