trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,1,9.68758563896,0.663239167486,0.0,135_top_l,False,,,3.57206983329,True,"[0.15304381435523462, 0.1529319482874314, 0.1525216371182998]",True,False,lighter,,0.741861999966,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,2,9.02278723196,0.830544302539,0.06,45_bottom_d,False,,,3.66984670865,True,"[0.71557685596660159, 0.71541516711461428, 0.71482211201581558]",True,False,darker,False,0.648566666292,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,3,9.74105234988,0.813654758254,-0.084,none_u,False,,,3.51575220842,True,"[0.31307399695265214, 0.31294795722986013, 0.31248565881327939]",True,True,darker,True,0.634686541744,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,4,9.35861671882,0.79491819519,-0.168,none_d,True,3.33549079183,left,3.46377675002,True,"[0.067183870105539834, 0.067079608535882684, 0.066697189743647689]",False,False,darker,True,0.663383666659,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
empty,5,9.40163366993,0.823585217836,-0.084,none_d,False,,,3.52811391675,True,"[0.33732474478632324, 0.33719655720787656, 0.3367263807172467]",True,True,lighter,False,0.709630041616,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,6,10.0193650055,0.77318689716,-0.084,none_l,False,,,3.46935083345,True,"[0.21511013132561518, 0.21499276812877599, 0.21456229415706418]",True,True,darker,True,0.654567375081,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,7,9.8695466869,0.779362488233,0.12,45_bottom_l,True,3.33778416691,,3.46271008346,True,"[0.73820087398699452, 0.73803718135659024, 0.73743677664158835]",False,True,lighter,True,0.61072008335,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,8,9.60620027707,0.838215215896,-0.168,45_top_u,False,,,3.46555724996,True,"[0.16967169423954376, 0.16955835546309883, 0.1691426425772915]",True,False,darker,True,0.675248999847,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,9,9.51610743849,0.893609026686,0.12,none_u,True,3.34253783361,right,3.46918766689,True,"[1.0, 1.0, 1.0]",False,False,darker,False,0.584022583207,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
interactor,10,9.75155683554,0.896844436553,0.12,45_top_r,False,,,3.47301420826,True,"[1.0, 1.0, 1.0]",True,False,lighter,True,0.585695708171,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,11,9.34322384175,0.831235674739,-0.168,135_bottom_d,False,,,3.47829162492,True,"[0.15303550006735178, 0.15292363473593173, 0.15251332626777248]",True,False,darker,True,0.602251500124,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,12,9.19767532283,0.820415643155,0.06,none_l,True,3.33728950005,right,3.46289987513,True,"[0.68965972455763325, 0.68950033115062292, 0.68891569546559905]",False,False,lighter,True,0.462486749981,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
interactor,13,9.32780956018,0.792334666105,-0.084,135_top_u,False,,,3.51622124994,True,"[0.26128848900298141, 0.26116703585199219, 0.26072156042450256]",True,False,lighter,False,0.605761999963,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
