,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.17057237064,0.865240525445,0.06,none_d,True,3.34034495847,right,3.46812145854,True,"[0.80491286823295916, 0.80474326701222343, 0.80412119030449691]",False,False,brighter,True,0.301097708289,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
1,empty,2,9.0373506144,0.744769774922,0.0,none_l,False,,,3.45892570843,True,"[0.35001817977712446, 0.34988886795845264, 0.34941456789103853]",True,True,brighter,,0.279777874937,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
2,interactor,3,9.22260365669,0.77991131132,0.0,135_bottom_d,True,3.36164000002,,3.48996804166,True,"[0.43663286094668718, 0.43649587778385035, 0.43599344015644714]",False,True,brighter,,0.285693791695,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
3,interactor,4,9.35520663603,0.757557199086,-0.168,45_bottom_d,False,,,3.44764266652,True,"[-0.019845271048103075, -0.019941824565439803, -0.020295971156623405]",True,False,brighter,False,0.360163416713,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
4,interactor,5,9.72891636001,0.842329413982,0.06,135_top_l,False,,,3.46178729157,True,"[0.74582534988628746, 0.74566098196645414, 0.74505810037172271]",True,False,brighter,True,0.316578208469,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
5,interactor,6,9.61551602981,0.856624387727,-0.084,135_bottom_r,True,3.34266408323,,3.52114741667,True,"[0.41859074210844738, 0.41845535691146529, 0.41795878042901258]",False,True,darker,True,0.328527000034,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
6,empty,7,9.24602706852,0.762216669168,0.12,none_l,False,,,3.57063658326,True,"[0.69426275266425108, 0.69410295157331992, 0.69351682055312058]",True,True,brighter,True,0.32061783364,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
7,interactor,8,9.68474908225,0.756550868423,0.0,45_top_r,False,,,3.5101396665,True,"[0.37894404475399046, 0.37881217101091291, 0.3783284741155013]",True,False,brighter,,0.408699083608,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
8,empty,9,9.68754864953,0.851461368488,-0.084,none_u,False,,,3.46287083323,True,"[0.40583302286890799, 0.40569876760571688, 0.40520633558336638]",True,True,darker,True,0.403683833312,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
9,interactor,10,9.73749890275,0.854005411004,0.06,135_bottom_r,True,3.33942095842,,3.4642641251,True,"[0.77589134729309595, 0.77572431646888185, 0.77511166766385542]",False,True,darker,False,0.304478375008,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
