,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,9.98102059909,0.794433787003,0.0,135_top_l,False,,,3.57985120825,True,"[0.47271545154031069, 0.47257527259164323, 0.47206111320940947]",True,False,darker,,0.646096916636,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
1,empty,2,9.65135608568,0.810240842271,0.168,none_l,True,3.34849245823,right,3.55544608319,True,"[0.94299526692724744, 0.94281343593680655, 0.94214650191708516]",False,False,lighter,True,0.647304875078,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
2,interactor,3,9.57841032486,0.695411317656,-0.168,45_bottom_d,True,3.3552255414,,3.56325691659,True,"[-0.16154328490147596, -0.16162728841900598, -0.16193540313301635]",False,True,darker,True,0.423377208412,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
3,interactor,4,9.38586043103,0.823067567668,0.0,135_bottom_r,True,3.35571283358,,3.5621104585,True,"[0.54434114295124525, 0.54419462021278853, 0.54365719257901191]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,empty,5,9.50320155871,0.787783567972,-0.168,none_l,True,3.34781958326,left,3.55365895829,True,"[0.050461620227957527, 0.050358839725159976, 0.049981853306545698]",False,False,darker,True,0.630927708233,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
5,interactor,6,9.51959183756,0.745292758992,0.168,135_top_l,False,,,3.57029737486,True,"[0.77405348447387889, 0.77388661642666712, 0.77327456466794575]",True,False,lighter,True,0.869208583608,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
6,interactor,7,9.5905579555,0.451126622,0.0,135_bottom_r,False,,,3.56410525017,True,"[-0.32980389094154006, -0.32987299184670738, -0.33012644558601567]",True,False,darker,,0.680787124904,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
7,interactor,8,8.89550602145,0.809313064813,0.168,135_bottom_d,False,,,3.56613095826,True,"[0.94056169333020123, 0.94038007787805378, 0.93971393442665341]",True,False,darker,False,0.669158624951,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
8,interactor,9,10.0360022773,0.575657377688,-0.168,135_top_l,False,,,3.56683099992,True,"[-0.42261532966031723, -0.42267621038295422, -0.42289951348972232]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
9,empty,10,9.69303739543,0.682157342356,-0.168,none_u,False,,,3.56239012512,True,"[-0.19124278632054958, -0.19132415939375136, -0.19162262595699087]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
