trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,9.56360317885,0.83302215234,0.0,none_r,False,,,3.55992545816,True,"[0.56938936147545371, 0.5692406202504503, 0.56869505547708177]",True,True,darker,,1.47162341676,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,2,9.36770604106,0.85762909766,-0.168,none_u,False,,,3.59848008328,True,"[0.21617299858542971, 0.21605554125188831, 0.21562472199816596]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,3,9.77940555718,0.899382500727,0.12,none_l,False,,,3.61489383341,True,"[1.0, 1.0, 1.0]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,4,9.57769174654,0.841059241148,0.0,45_bottom_l,True,3.38643841655,,3.51599466638,True,"[0.5896673942315096, 0.5895168570088043, 0.58896470473369367]",False,True,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,5,9.42773829694,0.814747092808,0.0,135_bottom_d,False,,,3.52766383346,True,"[0.52346274483883692, 0.52331807127162322, 0.5227874261736869]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,6,9.71651678325,0.823451714767,0.06,45_top_u,True,3.52407179191,,3.67194808321,True,"[0.69742061718905624, 0.69726053641037189, 0.69667337952941399]",False,True,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,7,9.30262183452,0.820376095873,-0.168,none_d,True,3.50491791661,left,3.66811354179,True,"[0.12723802389242267, 0.12712844340827822, 0.126726515482813]",False,False,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,8,9.43367848937,0.766639145928,0.0,45_top_r,False,,,3.5171477499,True,"[0.40380330319053526, 0.40366922769684721, 0.40317745504723224]",True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
empty,9,9.67325228199,0.783044617443,0.12,none_u,True,3.61560170818,right,3.79198595812,True,"[0.74766423512604363, 0.74749970433865198, 0.7468962253654734]",False,False,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
empty,10,9.66300817903,0.803560571489,-0.084,none_u,False,,,3.63394829188,True,"[0.28850784517140582, 0.28838398123916797, 0.28792966335845116]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,11,8.97240779536,0.808668050666,0.06,135_top_l,True,3.40668137488,,3.57486795844,True,"[0.65969335494200387, 0.65953661561547472, 0.65896171477576071]",False,True,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,12,9.06642022378,0.776266823689,0.12,none_r,True,3.42201275006,left,3.57337795827,True,"[0.73025226290613365, 0.73008927427337134, 0.72949145173633312]",False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,13,9.41135673667,0.768323202755,0.0,135_top_u,False,,,3.52121008327,True,"[0.40796111071869912, 0.40782666697367076, 0.40733354362279872]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
