,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.34881017134,0.794665990061,0.0,none_d,False,,,3.54780137492,True,"[0.47329373257402652, 0.47315350240779641, 0.47263915516575583]",True,True,lighter,,0.439521083375,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
1,interactor,2,9.54222059267,0.822293020441,-0.168,45_bottom_l,True,3.34041199996,,3.54864408355,True,"[0.13178402591256932, 0.13167404279522854, 0.13127063806002504]",False,True,darker,True,0.367112458218,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
2,empty,3,9.69955022771,0.830575150906,-0.084,none_l,True,3.33230341668,left,3.53265174991,True,"[0.35444350700465121, 0.35431380324078332, 0.3538380655659259]",False,False,darker,True,0.40738337487,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
3,interactor,4,9.36843379472,0.80339490307,-0.084,45_top_u,False,,,3.54217499983,True,"[0.28810537398816272, 0.2879815457022501, 0.28752735856792477]",True,False,darker,True,0.390702458564,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
4,empty,5,9.67517459425,0.805684292383,-0.168,none_d,True,3.32180445851,right,3.5194347084,True,"[0.092507679959476397, 0.092401175494520205, 0.092010530034367211]",False,False,lighter,False,0.420834166463,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
5,interactor,6,9.43426805593,0.745382055502,-0.168,45_top_r,False,,,3.54503466678,True,"[-0.047913686757222851, -0.048007754293266092, -0.04835278260657716]",True,False,darker,True,0.413323541405,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
6,empty,7,9.66993066368,0.80095446619,0.06,none_l,False,,,3.54784008348,True,"[0.64007208890313394, 0.63991708740537501, 0.63934856071081403]",True,True,darker,False,0.479229333112,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
7,empty,8,9.49482371402,0.800146710945,0.06,none_r,True,3.33246029168,right,3.52967587509,True,"[0.63801991288759696, 0.63786509314826945, 0.63729723312158626]",False,False,lighter,True,0.377248416422,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
8,empty,9,9.72665146537,0.790363572961,-0.168,none_r,True,3.33993604151,left,3.54065558314,True,"[0.0565031507204794, 0.056399835127567632, 0.056020886063309572]",False,False,darker,True,0.472751708236,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
9,interactor,10,9.36351550002,0.695706918169,0.12,135_top_u,False,,,3.53630791698,True,"[0.52586850638076732, 0.52572361973853421, 0.52519219310727339]",True,False,darker,False,0.419865541393,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
