,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,9.37361751517,0.75,0.0,135_top_l,True,3.36804962484,,3.57688237494,True,"[0.3628458271531354, 0.36271537920723351, 0.36223691196293095]",False,True,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
1,interactor,2,9.60411042862,0.75,0.08,45_top_u,False,,,3.57195879146,True,"[0.56177691872222724, 0.5616288517208945, 0.56108575991817911]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
2,empty,3,9.48769562981,0.75,0.0,none_r,True,3.33856504154,left,3.5494731667,True,"[0.3628458271531354, 0.36271537920723351, 0.36223691196293095]",False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
3,empty,4,9.33976915228,0.75,0.0,none_l,True,3.35052129137,right,3.55751216644,True,"[0.3628458271531354, 0.36271537920723351, 0.36223691196293095]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
4,interactor,5,9.99950930846,0.75,-0.16,45_bottom_l,False,,,3.56762574986,True,"[-0.0188216917780889, -0.018918335952445964, -0.019272815062582827]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
5,empty,6,9.46291541432,0.75,-0.16,none_l,True,3.35223483341,right,3.56173616671,True,"[-0.0188216917780889, -0.018918335952445964, -0.019272815062582827]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
6,interactor,7,9.73427818406,0.75,-0.16,135_bottom_d,True,3.35701050004,,3.56667933357,True,"[-0.0188216917780889, -0.018918335952445964, -0.019272815062582827]",False,True,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
7,empty,8,9.38125435442,0.75,0.0,none_l,False,,,3.5750418331,True,"[0.3628458271531354, 0.36271537920723351, 0.36223691196293095]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
8,empty,9,9.71503577808,0.75,0.16,none_d,True,3.35402825009,right,3.56463699997,True,"[0.76556642539347375, 0.76540030903350997, 0.76479101437243879]",False,False,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
9,empty,10,9.48372558723,0.75,-0.08,none_d,True,3.35767375003,right,3.56603254192,True,"[0.16915806326611271, 0.1690447699812625, 0.16862922395310687]",False,False,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
