trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,9.60190273866,0.748498974951,0.06,none_r,True,3.46707766689,right,3.60184437502,True,"[0.50781944659774814, 0.50767615853612202, 0.50715059530463957]",False,False,lighter,True,0.475951875094,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,2,9.48305959559,0.812709262328,-0.168,none_u,False,,,3.58474075003,True,"[0.10908951607056205, 0.10898154297500073, 0.10858551075590595]",True,True,lighter,False,0.336241291603,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,3,9.71068420565,0.828766225101,-0.084,135_bottom_r,True,3.48893620819,,3.74297683337,True,"[0.35000948111423535, 0.34988017006599237, 0.34940587282441715]",False,True,lighter,False,0.353513458278,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,4,9.53960433444,0.855100475079,0.12,45_top_r,True,3.41476033372,,3.54657666688,True,"[0.93476037025790615, 0.93457926862102991, 0.93391500978172748]",False,True,lighter,True,0.29189079185,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,5,9.35747838906,0.84829177927,0.06,45_bottom_d,True,3.43827670836,,3.57117062504,True,"[0.76116652248362615, 0.76100079581706126, 0.76039293050411461]",False,True,lighter,True,0.283862000098,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,6,9.86804129635,0.87958892104,-0.084,135_top_u,False,,,3.58558533341,True,"[0.47559262753811549, 0.47545219376189385, 0.47493709970309994]",True,False,space,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,7,9.48803898225,0.871703352202,0.12,135_top_l,True,3.41456283326,,3.59169066674,True,"[0.97837235698612912, 0.97818739269507815, 0.97750896610873483]",False,True,darker,False,0.272644791519,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,8,9.65193602352,0.812179063463,-0.168,45_bottom_l,True,3.47250916646,,3.69753541634,True,"[0.10783644461483788, 0.10772858250210748, 0.10733295735457027]",False,True,lighter,False,0.322580208536,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,9,9.76885682708,0.852391645191,0.12,45_top_u,True,3.38385020825,,3.51559537486,True,"[0.92766240519686227, 0.92748193221707109, 0.92681997921570436]",False,True,lighter,True,0.299265333219,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,10,9.57671034724,0.915720545438,-0.084,none_l,True,3.41111425008,left,3.54523420823,True,"[0.56610992035558638, 0.56596146958620763, 0.5654169701688514]",False,False,darker,True,0.361725375056,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,11,9.74007895521,0.776394295178,0.06,none_l,True,3.37709370861,left,3.51735687512,True,"[0.57789154161663392, 0.57774204736513091, 0.57719372058189911]",False,False,darker,False,0.374103249982,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,12,9.9521663696,0.773762044468,0.0,none_u,False,,,3.5484918335,True,"[0.42140474130087413, 0.42126910687182306, 0.42077161623636461]",True,True,lighter,,0.337353083305,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,13,9.54730997493,0.805221035859,-0.084,135_bottom_d,True,3.49515079148,,3.63379891659,True,"[0.29254301953343531, 0.29241879821130889, 0.29196316946782463]",False,True,lighter,False,0.388473041588,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,14,9.9023496874,0.834641128474,0.06,none_r,False,,,3.54851666675,True,"[0.72608077819623551, 0.72591815902618495, 0.7253216916335592]",True,True,darker,False,0.532063958235,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,15,9.69945958968,0.759694673824,-0.084,45_top_u,False,,,3.48550362489,True,"[0.18276274754783994, 0.18264824931466062, 0.18222828368217314]",True,False,lighter,False,0.310308208223,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,16,9.65391939586,0.792402260374,-0.084,none_u,True,3.40961433318,left,3.64511104184,True,"[0.26145206342885685, 0.2613305957903036, 0.26088506722418692]",False,False,lighter,False,0.362796583213,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
