trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,1,9.79527589747133,-0.1754969385555911,0.335,45_top_u,True,3.611580199911259,,3.8800578999798745,True,"[0.15950306144440893, 0.15950306144440893, 0.15950306144440893]",False,True,lighter,True,0.8650442999787629,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,2,9.621984050211873,-0.133920651187073,-0.335,none_r,True,3.5747962000314146,left,3.841565900016576,True,"[-0.46892065118707305, -0.46892065118707305, -0.46892065118707305]",False,False,darker,True,0.5845320000080392,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
empty,3,9.558639842731957,-0.15562524297793598,-0.335,none_l,False,,,3.8582724999869242,True,"[-0.49062524297793597, -0.49062524297793597, -0.49062524297793597]",True,True,darker,True,0.5329349000239745,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,4,9.846861123716746,0.14552848853614408,0.335,45_top_u,False,,,3.857026500045322,True,"[0.4805284885361441, 0.4805284885361441, 0.4805284885361441]",True,False,lighter,True,0.5506821000017226,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,5,9.458245146962906,0.3045442673630184,0.0,none_d,True,3.5747559000737965,right,3.840876800008118,True,"[0.3045442673630184, 0.3045442673630184, 0.3045442673630184]",False,False,lighter,,0.5002847000723705,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,6,9.285677606066477,0.2168111593233208,0.168,135_bottom_r,True,3.573227299959399,,3.840467300033197,True,"[0.3848111593233208, 0.3848111593233208, 0.3848111593233208]",False,True,lighter,True,0.5827301999088377,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,7,9.698471420714068,0.4125464879023293,0.335,45_bottom_l,True,3.5740321000339463,,3.840426499955356,True,"[0.7475464879023292, 0.7475464879023292, 0.7475464879023292]",False,True,lighter,True,0.5493439000565559,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
empty,8,9.362881697486598,0.22563620051549113,0.168,none_d,True,3.573303500073962,right,3.8401444000191987,True,"[0.39363620051549114, 0.39363620051549114, 0.39363620051549114]",False,False,lighter,True,0.5664202000480145,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,9,9.431421136010915,0.277545725106558,-0.168,none_r,False,,,3.8577107000164688,True,"[0.109545725106558, 0.109545725106558, 0.109545725106558]",True,True,lighter,False,0.5330240000039339,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,10,9.52735663103571,0.16390390365645727,-0.335,45_bottom_d,True,3.5728509000036865,,3.8413322999840602,True,"[-0.17109609634354275, -0.17109609634354275, -0.17109609634354275]",False,True,darker,True,0.6166552000213414,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,11,9.226473123979025,0.09443748052965634,-0.168,none_l,True,3.5753665999509394,left,3.841229200013913,True,"[-0.07356251947034367, -0.07356251947034367, -0.07356251947034367]",False,False,darker,True,0.7682221999857575,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
empty,12,9.559477662918887,-0.16238992107128716,0.335,none_d,False,,,3.858372199931182,True,"[0.17261007892871286, 0.17261007892871286, 0.17261007892871286]",True,True,lighter,True,0.40138100006151944,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,13,9.505910551150267,-0.04004440464462111,0.335,45_top_r,True,3.574607799993828,,3.840686299954541,True,"[0.2949555953553789, 0.2949555953553789, 0.2949555953553789]",False,True,lighter,True,0.4341252000303939,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,14,9.827504478117477,0.21624451278565893,0.168,none_l,False,,,3.8583119999384508,True,"[0.38424451278565896, 0.38424451278565896, 0.38424451278565896]",True,True,lighter,True,0.5326787000522017,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,15,9.60601522409637,-0.08156015210602269,-0.168,45_bottom_d,False,,,3.8573392999824136,True,"[-0.2495601521060227, -0.2495601521060227, -0.2495601521060227]",True,False,darker,True,0.8173301999922842,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,16,9.811746447147064,0.6411642810369516,-0.335,none_d,False,,,3.857516400050372,True,"[0.30616428103695154, 0.30616428103695154, 0.30616428103695154]",True,True,lighter,False,0.5335274999961257,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,17,9.831967120251225,0.35525962851094894,0.0,135_bottom_d,False,,,3.8578473000088707,True,"[0.35525962851094894, 0.35525962851094894, 0.35525962851094894]",True,False,lighter,,0.8661706000566483,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,18,9.593343900668593,-0.021866565243524344,0.0,135_top_u,False,,,3.8582450000103563,True,"[-0.021866565243524344, -0.021866565243524344, -0.021866565243524344]",True,False,darker,,0.6995889999670908,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,19,9.534559983199777,0.21758598282335473,0.335,135_top_l,True,3.575094100087881,,3.841300400090404,True,"[0.5525859828233548, 0.5525859828233548, 0.5525859828233548]",False,True,lighter,True,0.5005873999325559,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,20,9.796794308889316,-0.1310454375925275,0.335,45_top_u,False,,,3.8580409000860527,True,"[0.20395456240747253, 0.20395456240747253, 0.20395456240747253]",True,False,lighter,True,0.45022219989914447,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,21,9.307576114094708,0.2911346630786534,0.168,none_r,True,3.5750461999559775,left,3.8400312999729067,True,"[0.45913466307865336, 0.45913466307865336, 0.45913466307865336]",False,False,lighter,True,0.7015237000305206,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,22,9.686311030263811,0.17671160782998419,0.168,135_top_l,True,3.574281599954702,,3.841550500015728,True,"[0.3447116078299842, 0.3447116078299842, 0.3447116078299842]",False,True,lighter,True,0.5668029999360442,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,23,9.628187715114429,0.3361873531561751,-0.168,45_bottom_d,True,3.574112599948421,,3.8403907999163494,True,"[0.16818735315617508, 0.16818735315617508, 0.16818735315617508]",False,True,lighter,False,0.41768559999763966,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,24,9.840082458305655,0.08069131953688552,0.168,45_bottom_d,False,,,3.8563344000140205,True,"[0.24869131953688553, 0.24869131953688553, 0.24869131953688553]",True,False,lighter,True,0.4179748999886215,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
empty,25,9.561239392146579,0.08763722363182869,0.335,none_l,False,,,3.8583722999319434,True,"[0.4226372236318287, 0.4226372236318287, 0.4226372236318287]",True,True,lighter,True,0.4673865999793634,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,26,9.526664037606922,-0.08961389941848033,0.0,45_bottom_l,False,,,3.858574499958195,True,"[-0.08961389941848033, -0.08961389941848033, -0.08961389941848033]",True,False,darker,,0.5013676999369636,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,27,9.28006046767778,-0.0704982576366571,0.168,135_top_l,False,,,3.858401000034064,True,"[0.09750174236334291, 0.09750174236334291, 0.09750174236334291]",True,False,darker,False,0.7325820999685675,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,28,9.482422484389135,0.09003768852406285,0.335,none_d,False,,,3.8574182000011206,True,"[0.4250376885240629, 0.4250376885240629, 0.4250376885240629]",True,True,lighter,True,0.45077520003542304,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,29,9.375822534397189,0.08921544382289198,0.168,45_bottom_d,True,3.5732943000039086,,3.8416324999416247,True,"[0.25721544382289196, 0.25721544382289196, 0.25721544382289196]",False,True,lighter,True,0.5321564000332728,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,30,9.290663016351257,0.15302266311011636,0.168,45_top_u,True,3.5745833000401035,,3.842762800049968,True,"[0.3210226631101164, 0.3210226631101164, 0.3210226631101164]",False,True,lighter,True,0.7836493999930099,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
