,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.17586903219,0.75,0.08,none_l,False,,,3.57568745851,True,"[0.56177691872222724, 0.5616288517208945, 0.56108575991817911]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
1,interactor,2,9.12031774957,0.75,-0.192,45_top_u,True,3.39975299989,,3.60611950001,True,"[-0.092291368120242967, -0.092381505185581081, -0.092712117009046913]",False,True,darker,True,0.51457291632,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
2,empty,3,9.87184707549,0.75,0.16,none_l,False,,,3.56626962498,True,"[0.76556642539347375, 0.76540030903350997, 0.76479101437243879]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
3,interactor,4,9.52273810768,0.75,0.08,135_top_l,True,3.34898374998,,3.55655283341,True,"[0.56177691872222724, 0.5616288517208945, 0.56108575991817911]",False,True,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
4,interactor,5,9.68378563628,0.75,0.16,135_top_u,True,3.34618487512,,3.5518690832,True,"[0.76556642539347375, 0.76540030903350997, 0.76479101437243879]",False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
5,interactor,6,9.69030944915,0.75,-0.096,45_bottom_l,False,,,3.57255575014,True,"[0.1310889097338892, 0.1309789881820389, 0.13057580926159296]",True,False,darker,True,0.571682624985,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
6,empty,7,9.60547820088,0.75,0.16,none_l,True,3.34547920828,right,3.55096295825,True,"[0.76556642539347375, 0.76540030903350997, 0.76479101437243879]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
7,interactor,8,9.71411442453,0.75,0.0,45_bottom_l,False,,,3.57136583328,True,"[0.3628458271531354, 0.36271537920723351, 0.36223691196293095]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
8,interactor,9,9.42440830488,0.75,0.16,135_bottom_r,False,,,3.56685837498,True,"[0.76556642539347375, 0.76540030903350997, 0.76479101437243879]",True,False,lighter,True,0.671337208478,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
9,empty,10,9.72495512863,0.75,0.16,none_l,True,3.35022883327,left,3.5568327501,True,"[0.76556642539347375, 0.76540030903350997, 0.76479101437243879]",False,False,lighter,True,0.536912124837,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
