,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.41499063327,0.737006327809,-0.08,none_r,False,,,4.56184449978,True,"[0.13822434849460508, 0.13811379496667509, 0.13770829803462381]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
1,interactor,2,9.94745113572,0.8355481013,0.08,135_top_u,True,4.12336990004,,4.54836219968,True,"[0.7798710281030008, 0.77970364480388454, 0.77908970316367143]",False,True,m,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,interactor,3,10.034920512,0.685668463855,0.16,135_top_l,False,,,4.55057050008,True,"[0.60131863184999124, 0.60116706269306008, 0.60061112540837658]",True,False,x,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
3,interactor,4,9.52313804451,0.817696135124,0.08,45_bottom_d,True,4.12657089997,,4.52651820006,True,"[0.7339213958776678, 0.73375808227479933, 0.73315906778684004]",False,True,m,,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
4,empty,5,9.97375608377,0.907161852178,-0.08,none_r,False,,,4.55006500008,True,"[0.55463426777689628, 0.55448683339041183, 0.55394606194224605]",True,True,x,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
5,empty,6,9.1972743054,0.843995993774,-0.16,none_r,False,,,4.55086149974,True,"[0.20264611321592652, 0.20252985394016787, 0.20210342901710066]",True,True,darker,True,0.724073700141,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
6,interactor,7,10.1313456918,0.668529113775,0.16,45_top_r,True,4.12415130017,,4.54933850002,True,"[0.55807443576272719, 0.55792669668525541, 0.55738480766750742]",False,True,lighter,True,0.826140900142,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
7,empty,8,9.73052680331,0.876531809251,-0.08,none_l,False,,,4.54965359997,True,"[0.47794192183191142, 0.47780127998189648, 0.47728542273367403]",True,True,darker,True,0.550779100042,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
8,interactor,9,9.19221965192,0.541408100631,0.0,135_bottom_r,True,4.1258450998,,4.52578910021,True,"[-0.12997614692211334, -0.13006294629799819, -0.13038131588135038]",False,True,lighter,,0.775238099974,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
9,interactor,10,9.44292209157,0.776330786779,0.0,135_top_u,True,4.12390999962,,4.52585339965,True,"[0.42776234060422835, 0.42762614309127622, 0.42712658713237261]",False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
10,interactor,11,9.45714966925,0.721479089944,0.0,45_bottom_l,False,,,4.54971309984,True,"[0.29317033786440305, 0.29304606098154529, 0.29259022844804616]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
11,interactor,12,9.70286193156,0.761566573966,-0.08,45_top_r,True,4.12454649992,,4.52422640007,True,"[0.19682087554382921, 0.19670513220142594, 0.19628059965932954]",False,True,x,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
12,empty,13,9.70135283153,0.7275537324,0.08,none_u,False,,,4.55001010001,True,"[0.5054554852964579, 0.50531240660765575, 0.5047876113303138]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
13,empty,14,9.77316889617,0.881327212993,0.16,none_u,True,4.1236200002,left,4.52286450006,True,"[1.0, 1.0, 1.0]",False,False,m,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
14,interactor,15,9.6014710131,0.835880331391,0.0,135_top_l,False,,,4.55024569994,True,"[0.57659513080845204, 0.57644575137828258, 0.57589784574578995]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
15,interactor,16,9.65435125456,0.603249524242,-0.16,135_bottom_d,False,,,4.54963739961,True,"[-0.34679526332072852, -0.34686285932322214, -0.34711079326203975]",True,False,x,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
16,empty,17,9.7652130003,0.908755486171,0.08,none_l,True,4.12561089965,right,4.5241446998,True,"[0.97061556060490184, 0.97043128332272244, 0.96975537660161026]",False,False,lighter,True,0.675958100241,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
17,interactor,18,9.55368932443,0.807637189984,-0.08,45_top_u,False,,,4.55177740008,True,"[0.30815702107156029, 0.30803141683861313, 0.30757071574597283]",True,False,darker,True,0.625195899978,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
18,interactor,19,9.60577746954,0.82143200568,0.08,45_bottom_d,True,4.12451320002,,4.52532349993,True,"[0.74351850668337383, 0.74335434307749204, 0.74275221088157228]",False,True,lighter,True,0.775109500159,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
19,interactor,20,9.78135144156,0.675965085901,-0.08,135_top_u,False,,,4.55026070029,True,"[-0.0050141120932701844, -0.0051119791861261588, -0.0054709438129959542]",True,False,darker,True,0.474110199604,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
20,interactor,21,9.67142691467,0.65540096136,-0.08,45_bottom_l,False,,,4.55202159984,True,"[-0.052466975478991595, -0.052560639736464965, -0.052904188872887281]",True,False,darker,True,0.70008750027,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
21,interactor,22,9.37271202106,0.858827586587,-0.08,135_bottom_d,True,4.12598469993,,4.52487189975,True,"[0.43394692565749793, 0.43381018038428354, 0.43330861530717257]",False,True,lighter,False,0.975927200168,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
22,interactor,23,9.24789416679,0.673532747399,0.08,135_bottom_r,False,,,4.54934159992,True,"[0.37152291425078876, 0.37139169778711612, 0.37091041171284811]",True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
23,interactor,24,10.1693714615,0.627671520251,0.0,45_bottom_d,False,,,4.5492420001,True,"[0.068952313099714724, 0.068847894901471918, 0.068464901614588847]",True,False,m,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
24,empty,25,9.33615274411,0.834636032606,0.0,none_u,False,,,4.55151990009,True,"[0.57345736463637875, 0.57330826311388061, 0.5727613768130142]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
25,empty,26,9.9444165122,0.737789604618,-0.16,none_d,False,,,4.55057819979,True,"[-0.046976502881312165, -0.047070653422454645, -0.047415986188395709]",True,True,m,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
26,empty,27,9.49972908143,0.775904631628,0.0,none_l,True,4.12471010024,left,4.52527499991,True,"[0.42670724852675423, 0.42657114446186828, 0.42607193125913767]",False,False,lighter,,0.976245700382,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
27,empty,28,9.47163179558,0.788173490703,-0.16,none_d,True,4.12478510011,left,4.52359839994,True,"[0.070130991664731912, 0.070026469072535846, 0.069643092881295665]",False,False,darker,True,0.650801300071,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
28,empty,29,9.30912986213,0.713831235132,-0.08,none_d,True,4.12398809986,right,4.52353439992,True,"[0.083432213044803083, 0.083326512381572071, 0.082938815168659419]",False,False,darker,True,0.676030700095,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
29,interactor,30,9.86156952393,0.859584321856,0.0,135_top_u,False,,,4.54878270021,True,"[0.6365913964571468, 0.63643670323956814, 0.63586930727932645]",True,False,darker,,0.601923800074,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
30,interactor,31,9.26838331619,0.669592088215,0.0,45_top_u,False,,,4.55201860005,True,"[0.16818466040541402, 0.1680714533335248, 0.16765622352406395]",True,False,darker,,0.650984699838,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
31,empty,32,9.46716143719,1.02114631772,0.16,none_u,False,,,4.55058200005,True,"[1.0, 1.0, 1.0]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
32,interactor,33,9.32929338247,0.642142359888,0.0,45_top_r,True,4.12562639965,,4.52566569997,True,"[0.10302530022477896, 0.10291786422854354, 0.10252380202463285]",False,True,x,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
33,empty,34,9.34282340023,0.718984750516,0.0,none_r,False,,,4.5488926,True,"[0.28710905817151344, 0.2869853181279316, 0.28653145465578156]",True,True,darker,,0.575763800181,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
34,empty,35,9.27918452422,0.851282415858,0.08,none_u,True,4.12533570034,left,4.52474260004,True,"[0.8205562629501808, 0.82038527621531054, 0.81975811760978945]",False,False,lighter,True,0.749949300196,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
35,empty,36,9.64347988909,0.770520579976,0.08,none_u,True,4.12453270005,right,4.52541479981,True,"[0.61360102123925131, 0.61344836424784499, 0.61288843691824568]",False,False,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
36,empty,37,9.30008443098,0.716670988146,0.0,none_l,False,,,4.54907920025,True,"[0.28149128086031472, 0.28136803837560542, 0.28091599988905802]",True,True,x,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
37,interactor,38,9.15059323852,0.623852917375,0.16,135_top_l,True,4.12405630015,,4.5240933001,True,"[0.44640971590169465, 0.44627186681614694, 0.44576625308927653]",False,True,lighter,True,0.801821399946,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
38,empty,39,9.28022011673,0.894896936971,0.16,none_r,True,4.12590659969,right,4.52563859988,True,"[1.0, 1.0, 1.0]",False,False,lighter,True,0.600674199872,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
39,interactor,40,9.81621670287,0.715717074525,-0.16,45_bottom_l,True,4.12713370007,,4.55193830002,True,"[-0.097493347429166932, -0.097583023762295551, -0.097911945675887568]",False,True,darker,True,0.524639599957,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
40,empty,41,8.84877107829,0.769398870205,-0.16,none_d,True,4.1253014002,left,4.5264913002,True,"[0.026207797278888778, 0.026107164904105584, 0.025738057558519101]",False,False,darker,True,0.74995499989,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
41,empty,42,9.75613079567,0.884169676091,-0.08,none_u,True,4.12531640008,left,4.52572020004,True,"[0.49699795868373209, 0.49685562906652669, 0.49633358129294725]",False,False,darker,True,0.751235399861,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
42,interactor,43,9.10588489714,0.812014879766,0.08,45_top_u,True,4.12399969995,,4.52401569998,True,"[0.71934590719151692, 0.71918388451980042, 0.71858960501073521]",False,True,lighter,True,0.675737899728,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
43,empty,44,9.15073202221,0.796884827722,0.08,none_l,True,4.12509439979,left,4.5248937998,True,"[0.68064256631390796, 0.68048397154430007, 0.67990226516442043]",False,False,lighter,True,0.751248400193,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
