,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.42538511295,0.829407596991,-0.168,none_r,False,,,3.58215883328,True,"[0.14868536647313091, 0.14857388642710956, 0.1481649911390639]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
1,interactor,2,9.06479274842,0.8186477239,0.0,45_top_r,True,3.51351291686,,3.78708929173,True,"[0.53324391507259228, 0.53309837520047254, 0.53256455260121083]",False,True,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
2,empty,3,9.40763979366,0.71449794902,0.12,none_u,True,3.44058049982,left,3.64242425002,True,"[0.57310922932229436, 0.57296015863366878, 0.57241338542769693]",False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
3,interactor,4,9.19512997887,0.821700353644,0.12,45_top_r,True,3.47640233324,,3.67295129132,True,"[0.84758949726352295, 0.84741611623196533, 0.84678017563657892]",False,True,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
4,interactor,5,9.77019495057,0.830953656022,0.12,45_bottom_l,False,,,3.6298044587,True,"[0.871663453160052, 0.87148793993105844, 0.8708441786940786]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
5,interactor,6,9.86551696389,0.732289608212,-0.084,135_bottom_d,False,,,3.71247966681,True,"[0.11755803845995949, 0.11744931531892089, 0.11705053202398608]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
6,empty,7,9.38699492869,0.656621614839,0.06,none_u,False,,,3.71447725012,True,"[0.28137145262775043, 0.28124822075606648, 0.2807962211968007]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
7,empty,8,9.3638333739,0.78257714327,-0.084,none_l,True,3.32884716662,right,3.54147483315,True,"[0.2377168996927681, 0.23759753424529007, 0.23715971626108057]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
8,empty,9,9.52205189028,0.774175710406,0.0,none_d,False,,,3.74368270836,True,"[0.42242820244025325, 0.42229247736464481, 0.42179465424860885]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
9,interactor,10,9.20879825057,0.825121399509,-0.168,45_bottom_d,False,,,3.75112599996,True,"[0.13849763057159059, 0.1383870528394433, 0.13798146712924431]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
