trial,ball_speed,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,speed_change,ball_change,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
1,8.0,135_top_u,True,3.685484000016004,,,,False,False,True,,,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,7.5,135_top_u,False,,,3.9142619165359065,slower,True,True,False,up,True,0.7181480000726879,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
3,8.0,none_d,True,,right,,,False,False,False,,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
4,8.0,135_bottom_r,True,3.650301083456725,,,,False,False,True,,,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
5,8.0,45_bottom_l,True,3.6598289583344012,,3.9168907082639635,faster,True,False,True,up,True,0.6080723333870992,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
6,8.0,none_u,True,,left,3.9179472499527037,slower,True,False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
7,8.5,none_r,False,,,,,False,True,True,,,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
8,8.5,135_bottom_d,True,3.651976083405316,,3.9115424167830497,slower,True,False,True,left,True,1.6982679165666923,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
9,8.0,none_l,True,,left,,,False,False,False,,,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
10,7.5,none_l,False,,,,,False,True,True,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
11,8.0,135_bottom_d,True,3.6528670000843704,,,,False,False,True,space,,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
12,7.5,none_r,True,,right,,,False,False,False,,,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
13,7.5,135_bottom_r,False,,,3.9138947083847597,slower,True,True,False,right,True,0.695596041623503,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
14,8.0,45_top_u,False,,,,,False,True,False,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
15,8.5,none_l,True,,left,3.9153067499864846,faster,True,False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
16,7.5,45_top_u,True,3.65138004173059,,,,False,False,True,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
17,8.5,135_top_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
18,7.5,45_top_r,False,,,3.908632874954492,slower,True,True,False,right,True,0.650927499984391,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
19,8.0,none_l,False,,,3.9043031251057982,slower,True,True,True,left,True,0.5831046249950305,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
20,7.5,none_d,False,,,3.903553208336234,faster,True,True,True,down,True,0.5638165833661333,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
21,8.0,none_u,True,,left,3.9170923333149403,slower,True,False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
22,8.5,45_bottom_d,False,,,3.909988833242096,slower,True,True,False,down,True,0.589245333452709,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
23,7.5,135_top_l,False,,,,,False,True,False,,,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
24,8.5,45_bottom_d,True,3.654653333243914,,3.910015208297409,faster,True,False,True,right,True,0.802077166736126,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
25,8.5,none_u,False,,,,,False,True,True,,,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
26,7.5,none_u,True,,left,,,False,False,False,,,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
27,8.5,none_d,False,,,,,False,True,True,down,False,0.7264121250482276,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
28,8.5,45_top_r,True,3.6607906667049974,,,,False,False,True,down,False,0.6008388332556933,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
29,7.5,none_r,False,,,3.9045771249802783,faster,True,True,True,right,True,0.5813362500630319,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
30,8.5,45_bottom_l,False,,,3.9119987500598654,faster,True,True,False,left,True,0.6531200415920466,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
