,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.2086465392,0.808188131275,0.0,none_l,True,3.41061987518,right,3.61440933356,True,"[0.50704197997609746, 0.5068987607736295, 0.50637345010918788]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
1,empty,2,9.67578331188,0.814094026771,0.06,none_l,False,,,3.56896479148,True,"[0.67352170911338316, 0.67336374502838869, 0.67278435192316222]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
2,interactor,3,9.72508100513,0.749334865441,0.0,135_bottom_r,True,3.34520620829,,3.54458300001,True,"[0.36121327375741075, 0.36108297040453574, 0.3606050335099209]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
3,empty,4,9.61690495263,0.800065074637,0.0,none_u,False,,,3.55926179141,True,"[0.48675156332564939, 0.48661014121770463, 0.48609142207802614]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,interactor,5,9.84152350745,0.86589982131,0.12,45_bottom_d,False,,,3.54094887502,True,"[0.96310688647229736, 0.96292327422314705, 0.9622498067625147]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
5,interactor,6,9.46978294821,0.749442146729,0.06,135_top_u,False,,,3.5576362086,True,"[0.51017891787200731, 0.5100354208352269, 0.50950909110823162]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
6,interactor,7,9.43610279982,0.836515501117,-0.168,135_top_l,True,3.3351098334,,3.54014512501,True,"[0.16561630486059187, 0.16550332526445244, 0.16508892980844303]",False,True,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
7,empty,8,9.20291662437,0.837107037547,0.12,none_u,True,3.33578800014,right,3.53607858322,True,"[0.88770495302229602, 0.88752801901954093, 0.88687904655671979]",False,False,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
8,interactor,9,9.50710995497,0.819966234696,0.0,45_top_r,True,3.345228625,,3.54814816685,True,"[0.53655283354916494, 0.53640700061064828, 0.53587210307939115]",False,True,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
9,empty,10,9.98612983314,0.794095881697,-0.168,none_d,True,3.33975458331,left,3.55402708333,True,"[0.065254082015449022, 0.065149991364489734, 0.064768199481312738]",False,False,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
