trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
interactor,1,9.46419209666,0.596029374027,-0.104,45_top_u,False,,,3.53481904184,True,"[-0.2404000663914424, -0.24047708567140047, -0.24075958304906819]",True,False,darker,True,0.485698041739,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,2,9.56020684654,0.832251043179,-0.104,none_l,True,3.31099833339,left,3.50978837512,True,"[0.30965267029735855, 0.30952693359680161, 0.30906574662902719]",False,False,darker,True,0.486233291682,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,3,9.46090344165,0.753029462419,0.08,135_top_l,False,,,3.5239179167,True,"[0.56940778307653006, 0.56925904021994778, 0.56871346946215717]",True,False,lighter,True,0.527537708404,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,4,9.59057509858,0.740092489572,-0.104,none_u,True,3.30622045812,right,3.50311987498,True,"[0.088756690862859644, 0.088650518617891638, 0.088261091700361227]",False,False,darker,True,0.480037458241,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
interactor,5,9.3951666185,0.720923897213,0.08,135_bottom_d,True,3.30993604148,,3.51121533313,True,"[0.48889437378175349, 0.48875276188801142, 0.48823334663703855]",False,True,lighter,True,0.504585375078,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,6,9.32502684682,0.837457585919,0.0,none_u,True,3.30582579155,right,3.50466504158,True,"[0.58057419465216253, 0.58042446280173987, 0.57987526453448579]",False,False,lighter,,0.516228208318,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
interactor,7,9.57233352089,0.879509041526,0.0,135_top_l,False,,,3.52077395841,True,"[0.68734353960652728, 0.68718435134085865, 0.68660046808939623]",True,False,lighter,,0.641172583448,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
interactor,8,9.9297300889,0.686275685812,-0.208,135_top_u,False,,,3.52391237486,True,"[-0.27067803578072835, -0.27075237338223701, -0.27102503468860006]",True,False,darker,True,0.413246833486,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
interactor,9,9.74571292354,0.559369388747,0.16,45_bottom_l,False,,,3.51780870813,True,"[0.28804339211736707, 0.28791956932110452, 0.28746540232214879]",True,False,lighter,True,0.391213458497,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
interactor,10,9.99238990597,0.785938248372,0.08,45_bottom_d,True,3.30743400007,,3.51718025003,True,"[0.65274447810920422, 0.65258835423521799, 0.65201571080078558]",False,True,lighter,True,0.362883458147,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
interactor,11,9.61654006288,0.657820252042,0.08,45_bottom_d,False,,,3.52656024997,True,"[0.33300861572248941, 0.33288081041770567, 0.33241203606051095]",True,False,lighter,True,0.444289208623,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
