,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.25831092755,0.827643364806,0.0,none_l,False,,,3.58969233325,True,"[0.55584564003674375, 0.5556980983606723, 0.55515693338730698]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
1,empty,2,9.39410731423,0.763254705774,0.0,none_u,True,3.38739924994,right,3.53094845824,True,"[0.39545428666065896, 0.39532095062797756, 0.39483189023164589]",False,False,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
2,interactor,3,9.37211744857,0.765515179419,-0.084,45_bottom_l,True,3.39918495831,,3.53271195828,True,"[0.19669769822610417, 0.19658196579334941, 0.19615747326651434]",False,True,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
3,interactor,4,9.49477616154,0.747664589026,0.06,135_bottom_r,True,3.38603287493,,3.51918391674,True,"[0.50573269133626386, 0.50558958809570487, 0.50506470276548066]",False,True,darker,False,0.671107791364,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,empty,5,9.27587965158,0.793235690155,-0.168,none_l,False,,,3.49621179164,True,"[0.063236080511432258, 0.063132168592113791, 0.062751032274917407]",True,True,lighter,False,0.532439999981,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
5,empty,6,9.46605674202,0.721461929206,-0.084,none_d,True,3.44010474999,left,3.57387704146,True,"[0.091983553492991144, 0.091877095449202306, 0.091486620256256757]",False,False,lighter,False,0.66513479175,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
6,interactor,7,9.56097375701,0.774937226865,0.06,135_top_u,True,3.45389824989,,3.58952554176,True,"[0.57421678332810355, 0.57406761454492994, 0.57352048154005497]",False,True,lighter,True,0.449837541673,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,empty,8,9.79822900405,0.765100148484,0.12,none_u,False,,,3.53002374992,True,"[0.70163718559955845, 0.70147673136516153, 0.70088820469394419]",True,True,lighter,True,0.561988291796,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
8,empty,9,9.26314085762,0.798706651374,-0.084,none_u,False,,,3.70536070806,True,"[0.27672546013356669, 0.27660263975110033, 0.27615214948437816]",True,True,darker,True,0.39871466672,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
9,interactor,10,10.0181514126,0.798299446718,0.0,45_top_u,False,,,3.50928154145,True,"[0.48234802934201637, 0.4822069972490699, 0.48168970863710325]",True,False,lighter,,0.269295749953,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
