,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,9.31216722,0.733255935155,-0.084,135_bottom_r,True,3.35905529163,,3.83673866675,True,"[0.11984567991121686, 0.11973675415689589, 0.11933722770101274]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
1,empty,2,9.50624502881,0.782578116072,0.0,none_r,False,,,3.78931941674,True,"[0.44324632010954135, 0.44310875120164606, 0.44260416513241574]",True,True,darker,,0.227144708158,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,empty,3,10.2416055542,0.78284071018,0.12,none_u,True,3.33229200006,left,3.89333058358,True,"[0.74713992473973567, 0.74697544038979924, 0.74637213174357697]",False,False,darker,False,0.161260083085,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
3,interactor,4,9.19720169933,0.808053554065,0.0,45_top_r,False,,,3.88798416662,True,"[0.50670540539018694, 0.50656221599766971, 0.50603701467251661]",True,False,lighter,,0.150002583396,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
4,interactor,5,9.01211088667,0.748179199402,0.12,135_bottom_d,False,,,3.85934904171,True,"[0.65844855267434865, 0.65829192359826005, 0.65771742714378378]",True,False,darker,False,0.0989692916628,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
5,interactor,6,9.43999669011,0.839897418586,0.0,135_top_l,False,,,3.7942974586,True,"[0.58673304262235715, 0.58658276529117059, 0.58603156626663333]",True,False,lighter,,0.228950249963,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
6,empty,7,9.47433290584,0.786763065212,0.12,none_d,True,3.34919258347,right,3.89333212492,True,"[0.75723073254311357, 0.75706535446409462, 0.75645876772799081]",False,False,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
7,interactor,8,9.32308720622,0.884456665439,0.06,45_top_r,True,3.45227300003,,3.97132820822,True,"[0.85475432905784587, 0.85458031344690899, 0.85394204529132511]",False,True,lighter,True,0.301887666807,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
8,interactor,9,9.37377271168,0.820592935166,0.0,45_top_u,True,3.50855704164,,4.04232312506,True,"[0.53812605991704321, 0.53798008764001359, 0.537444679031988]",False,True,darker,,0.100273374934,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
9,empty,10,9.77708619681,0.794651625025,0.12,none_d,True,3.41345300013,right,3.95893512503,True,"[0.77755818249728947, 0.77739100404375483, 0.77677781375228605]",False,False,lighter,True,0.416405708296,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
10,interactor,11,9.52977688751,0.786416004106,0.06,45_bottom_d,False,,,4.11370437499,True,"[0.60320977024738331, 0.60305803359490517, 0.60250148195686482]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
11,empty,12,9.70431087369,0.747340063019,-0.168,none_r,True,3.44556050003,left,3.97490262496,True,"[-0.043409620202361832, -0.04350408665743799, -0.043850578157371589]",False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
12,interactor,13,9.39456743011,0.838264542024,-0.168,45_top_u,False,,,3.97896358324,True,"[0.16978942103203765, 0.16967607182869071, 0.16926032069827368]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
13,empty,14,9.44964338826,0.771457137081,0.0,none_u,False,,,3.84799720813,True,"[0.41570461871222331, 0.41556948913525282, 0.41507385023600341]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
14,interactor,15,9.42122083819,0.826082423001,0.0,45_bottom_l,True,3.46757504181,,3.95108700008,True,"[0.55191931908018255, 0.55177212515300433, 0.55123223568039648]",False,True,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
15,empty,16,9.28106127644,0.836605947406,0.06,none_l,True,3.48872924992,right,4.11485349992,True,"[0.73112268269201275, 0.73095961696735712, 0.7303615116666049]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
16,empty,17,9.34288226177,0.807058172699,0.12,none_l,False,,,3.99265462486,True,"[0.80961636197329723, 0.80944634417053529, 0.80882273949046701]",True,True,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
17,empty,18,9.96283575742,0.78143303318,0.12,none_u,True,3.46143375011,left,3.95666362508,True,"[0.74352114760766441, 0.74335698376788395, 0.74275485071403424]",False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
18,empty,19,9.86281423394,0.712587622994,0.06,none_l,True,3.35106629133,right,3.8670476249,True,"[0.41849982164161803, 0.41836444449733845, 0.41786789755121823]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
19,interactor,20,9.50141598157,0.804027662897,-0.084,135_top_u,True,3.44546570815,,3.98541354132,True,"[0.28964271140076581, 0.28951874695497382, 0.28906406040273236]",False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
