,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,9.25932471871,0.933469797026,-0.168,135_top_l,False,,,3.53728604177,True,"[0.4009176127577434, 0.40078379284572008, 0.40029295763865624]",True,False,darker,True,0.445424291538,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
1,interactor,2,9.4180468053,0.834140367646,-0.168,45_top_r,True,3.31423970824,,3.51489300001,True,"[0.15995373561951776, 0.1598412575494117, 0.15942870163006706]",False,True,darker,True,0.433916624868,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
2,empty,3,9.12967525504,0.964761526499,0.0,none_r,False,,,3.52935329173,True,"[0.90769575096459332, 0.90751704640413311, 0.90686157975038806]",True,True,darker,,0.401722958311,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
3,interactor,4,9.48245530337,0.889213696796,-0.168,135_bottom_r,True,3.31193808326,,3.51105033327,True,"[0.29252517940863565, 0.2924009596665853, 0.29194533671862599]",False,True,darker,True,0.418822333217,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,empty,5,9.05676017581,0.911749617895,0.12,none_l,False,,,3.51919974992,True,"[1.0, 1.0, 1.0]",True,True,lighter,True,0.583392458502,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
5,interactor,6,9.52689323006,0.89947315387,0.0,45_bottom_d,False,,,3.51853591646,True,"[0.73848515240057333, 0.73832143459201816, 0.73772093752661028]",True,False,lighter,,0.419692583615,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
6,interactor,7,9.78669776418,0.960268040971,-0.084,45_bottom_d,False,,,3.52662887494,True,"[0.67906831811523727, 0.67890986277465015, 0.67832866780348811]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
7,interactor,8,9.68771280136,0.870581332749,-0.084,135_bottom_r,False,,,3.52441137517,True,"[0.45318454914887041, 0.45304610002558632, 0.45253828543306152]",True,False,darker,True,0.508950041607,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
8,interactor,9,9.71464440058,0.887650110317,0.06,45_bottom_l,True,3.32030904177,,3.52338816691,True,"[0.86306199489176016, 0.8628872434821937, 0.86224627650647179]",False,True,lighter,True,0.690239166375,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
9,interactor,10,9.34951180842,0.926007677032,-0.168,135_bottom_d,True,3.31641054177,,3.51858024998,True,"[0.38252878115973199, 0.38239658992144143, 0.38191172849209232]",False,True,darker,True,0.471314749913,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
