trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
empty,1,9.0292892367,0.62222854252,0.0,none_l,False,,,3.52642216673,True,"[0.056186797927201271, 0.056083510353224897, 0.055704664059023967]",True,True,lighter,,0.493695541751,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,2,9.51809833196,0.822202686241,0.0,135_top_l,True,3.3077885001,,3.50734608341,True,"[0.54216844626374372, 0.54202211595806982, 0.54148539414439822]",False,True,lighter,,0.366082458058,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
interactor,3,9.55959972763,0.630484328264,-0.174,45_bottom_l,True,3.31662062509,,3.51641945844,True,"[-0.31820446271108527, -0.31827459096178834, -0.31853181287992371]",False,True,darker,True,0.468004374998,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,4,9.30252526831,0.850516429085,0.06,45_bottom_l,False,,,3.52621270833,True,"[0.7668970102206687, 0.76673077601261985, 0.7661210490990733]",True,False,lighter,True,0.445915416582,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
empty,5,9.45418099752,0.842315658745,-0.174,none_l,False,,,3.53354004142,True,"[0.16513966546039671, 0.16502672807955743, 0.16461248746415458]",True,True,darker,True,0.405660166871,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
empty,6,9.65426950715,0.763024176756,0.06,none_d,True,3.31188862491,right,3.5105321249,True,"[0.54423212562926748, 0.54408561254632759, 0.54354822032781014]",False,False,lighter,True,0.430599458516,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
empty,7,9.11052607219,0.758160494157,0.12,none_r,False,,,3.52454049978,True,"[0.68389937635934506, 0.68374049313851581, 0.68315772875453318]",True,True,lighter,True,0.390276125167,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
empty,8,9.78829203791,0.754276941731,0.06,none_l,False,,,3.52440070827,True,"[0.52228458956666457, 0.52214002034705698, 0.52160975798348108]",True,True,darker,False,0.619410708547,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
interactor,9,9.49191778715,0.668658767266,-0.087,45_top_r,True,3.31452691648,,3.51408591657,True,"[-0.038070908458309849, -0.038165847755802562, -0.038514073584373754]",False,True,darker,True,0.493975541787,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
empty,10,9.56366383169,0.854537873769,-0.087,none_l,True,3.31066733343,left,3.51003604149,True,"[0.40602190969866769, 0.40588763770602765, 0.40539514432208801]",False,False,darker,True,0.470355166821,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,11,9.92571716253,0.706751751736,-0.087,135_top_u,False,,,3.53791245818,True,"[0.050387156160576874, 0.050284382252961279, 0.049907420024670301]",True,False,darker,True,0.553165083518,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
empty,12,9.40238582103,0.606240179992,0.12,none_l,True,3.31987049989,left,3.51710904157,True,"[0.30475439153427897, 0.30462908866759109, 0.30416949294982976]",False,False,darker,False,0.416498541832,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,13,9.34475952826,0.731091412218,-0.174,45_top_r,False,,,3.52362529142,True,"[-0.094362356799740588, -0.094452310440435894, -0.094782249484559267]",True,False,darker,True,0.471248791786,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
interactor,14,9.52256056207,0.60259180121,0.0,135_bottom_r,True,3.30951466667,,3.50892979163,True,"[0.010365514273972254, 0.010266285028587951, 0.0099023241914495408]",False,True,darker,,0.657161666546,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
interactor,15,9.4044436931,0.685381029003,0.06,45_top_u,False,,,3.52423933358,True,"[0.35151618230978232, 0.35138673781507013, 0.35091195110802875]",True,False,darker,False,0.444472958101,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
interactor,16,9.50315061913,0.793873695061,0.0,135_bottom_d,False,,,3.52327279141,True,"[0.47132076634212838, 0.47118071091882596, 0.47066700461265176]",True,False,lighter,,0.495457416633,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
interactor,17,9.92323692419,0.810103897299,-0.087,45_top_u,False,,,3.52379570832,True,"[0.29712146229231795, 0.29699683546376043, 0.29653971937187262]",True,False,darker,True,0.471274833195,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
empty,18,9.21183962108,0.768099443976,-0.174,none_r,False,,,3.52467883332,True,"[-0.009336304643922877, -0.0094337889260799335, -0.0097913494497358089]",True,True,darker,True,0.366518958239,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
