,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,10.0075568671,0.75,-0.32,135_bottom_d,False,,,3.59676562506,True,"[-0.37520485373729628, -0.37526993354111593, -0.37550863836838189]",True,False,darker,True,0.412474374985,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
1,empty,2,9.23559137073,0.75,0.16,none_r,False,,,3.58491158346,True,"[0.76556642539347375, 0.76540030903350997, 0.76479101437243879]",True,True,lighter,True,0.39973720815,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,interactor,3,9.79229481955,0.75,0.08,135_top_u,True,3.35507841664,,3.56477333349,True,"[0.56177691872222724, 0.5616288517208945, 0.56108575991817911]",False,True,darker,False,0.623151541455,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
3,empty,4,9.49334115823,0.75,0.08,none_d,False,,,3.57264475012,True,"[0.56177691872222724, 0.5616288517208945, 0.56108575991817911]",True,True,lighter,True,0.594205041416,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
4,empty,5,9.02427246792,0.75,-0.32,none_d,True,3.35629462497,right,3.56501083309,True,"[-0.37520485373729628, -0.37526993354111593, -0.37550863836838189]",False,False,darker,True,0.452991500031,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)"
5,empty,6,9.31437412973,0.75,0.0,none_r,True,3.35335470829,right,3.56493754149,True,"[0.3628458271531354, 0.36271537920723351, 0.36223691196293095]",False,False,lighter,,0.846711583436,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
6,interactor,7,9.73999687386,0.75,-0.16,45_bottom_d,True,3.36589975003,,3.57768379152,True,"[-0.0188216917780889, -0.018918335952445964, -0.019272815062582827]",False,True,darker,True,0.517289499985,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,interactor,8,9.76984792187,0.75,0.0,45_bottom_l,False,,,3.57254887512,True,"[0.3628458271531354, 0.36271537920723351, 0.36223691196293095]",True,False,darker,,0.556369749829,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
8,empty,9,9.59444896632,0.75,-0.16,none_u,True,3.35411091661,left,3.56088433322,True,"[-0.0188216917780889, -0.018918335952445964, -0.019272815062582827]",False,False,darker,True,0.464131666813,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
9,interactor,10,9.6347156407,0.75,-0.16,135_bottom_d,False,,,3.58294895827,True,"[-0.0188216917780889, -0.018918335952445964, -0.019272815062582827]",True,False,darker,True,0.424225541763,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
