,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.3587947473,0.809282381466,0.0,none_d,False,,,3.4868428749,True,"[0.50977919516400094, 0.50963573353011626, 0.50910953365664624]",True,True,x,,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
1,interactor,2,9.70052415665,0.877857095774,0.0,135_bottom_r,True,3.32631645864,,3.45383483358,True,"[0.6831246850221051, 0.68296587041463308, 0.6823833576961138]",False,True,lighter,,0.305179124931,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
2,empty,3,9.72249579507,0.754227053718,-0.084,none_u,True,3.32076449995,right,3.49346491671,True,"[0.16969994740114669, 0.16958660612235765, 0.16917088405825598]",False,False,darker,True,0.327097416623,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
3,interactor,4,9.60439706287,0.734078064992,0.06,135_bottom_d,False,,,3.54197950009,True,"[0.47182963950505785, 0.47168953901155364, 0.47117566739334538]",True,False,lighter,True,0.297156749992,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
4,interactor,5,9.37138378962,0.859278953999,0.12,45_top_r,False,,,3.49757108325,True,"[0.94571893297920728, 0.94553686075737953, 0.94486904193018728]",True,False,lighter,True,0.341524666641,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
5,interactor,6,9.49031157806,0.754074961065,0.06,45_bottom_d,True,3.32963479147,,3.45459274994,True,"[0.52177849684780542, 0.52163397245213683, 0.52110387449734441]",False,True,lighter,True,0.228781500133,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
6,empty,7,9.40534792795,0.722614487167,0.06,none_r,False,,,3.44429183356,True,"[0.44333655646300985, 0.44319897956300514, 0.44269436417968122]",True,True,lighter,True,0.335496666608,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,empty,8,9.2787072925,0.813161576406,0.0,none_l,False,,,3.69176279171,True,"[0.51949026722193103, 0.51934594549163959, 0.51881659088886822]",True,True,lighter,,0.121134333313,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
8,interactor,9,9.88950438844,0.848511164246,0.06,135_top_u,True,3.40772833326,,3.53393708332,True,"[0.76173148165340954, 0.76156570494918108, 0.76095765610415533]",False,True,lighter,True,0.349899041699,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
9,interactor,10,9.33269643582,0.787127970249,0.12,45_top_u,True,3.37159812497,,3.50023150002,True,"[0.75817005754199451, 0.75800459626824046, 0.75739770438394349]",False,True,lighter,True,0.282999124844,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
