,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.8796967804,0.778567992158,0.12,none_d,False,,,3.81425366644,True,"[0.73616022550371807, 0.73599671361076702, 0.73539697181882002]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
1,interactor,2,9.26819074829,0.85184889437,-0.084,135_top_u,False,,,3.69906770857,True,"[0.40678984888196457, 0.40665550887399959, 0.40616276601809309]",True,False,lighter,False,0.45902883308,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
2,interactor,3,9.3927518218,0.709168330836,0.12,135_bottom_d,True,3.39366687485,,3.66623841645,True,"[0.55968325739163372, 0.55953537582302859, 0.55899296416507016]",False,True,darker,False,0.294659791747,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
3,interactor,4,9.45615497218,0.854324062464,0.06,135_top_u,True,3.38272745861,,3.68031495856,True,"[0.77671323550374516, 0.77654613188601496, 0.77593321608319332]",False,True,darker,False,0.267687249929,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
4,empty,5,9.30756247195,0.826077283276,0.12,none_r,False,,,3.78902962501,True,"[0.85896944910809436, 0.85879506016972518, 0.85815542269439482]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
5,interactor,6,9.90653272158,0.8319850708,0.12,135_bottom_r,True,3.51823670836,,3.84653216647,True,"[0.87435048473804344, 0.87417473352232822, 0.87353009937891701]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
6,empty,7,9.35666136699,0.800974049472,-0.168,none_r,True,3.34311554185,right,3.67115020845,True,"[0.081415075184088082, 0.081309553176007521, 0.08092251124851213]",False,False,,False,,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
7,interactor,8,9.26559078277,0.782956827835,-0.168,45_top_r,False,,,3.70640987484,True,"[0.039175859247275957, 0.039074078308935389, 0.038700758171513749]",True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
8,empty,9,9.7121845946,0.781005690967,-0.168,none_l,True,3.41484391666,right,3.72089854162,True,"[0.034620032478439589, 0.034518655043461299, 0.034146814907435763]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
9,interactor,10,9.55570899889,0.788771937793,-0.084,45_bottom_l,True,3.35805479181,,3.62898862502,True,"[0.25267241195930468, 0.25255172192250686, 0.25210904550531654]",False,True,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
