,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.62085282866,0.434563865144,-0.084,none_d,False,,,3.90043904143,True,"[-0.54076755610341931, -0.5408179722445241, -0.541002892535418]",True,True,darker,True,0.531979750143,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
1,interactor,2,9.6874163941,0.513414586628,-0.168,45_top_u,False,,,3.84565120842,True,"[-0.55119980191674756, -0.55124929408807055, -0.55143082536986765]",True,False,darker,True,0.61120387516,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
2,interactor,3,9.59248053444,0.747698406719,-0.168,45_bottom_l,True,3.58124145819,,3.8389833332,True,"[-0.042584898432400542, -0.042679437931956943, -0.043026197350192752]",False,True,darker,True,0.533565124962,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
3,empty,4,9.73460625118,0.665792739931,0.0,none_u,False,,,3.8835423335,True,"[0.15912537733683529, 0.15901297263329184, 0.15860068581360265]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,empty,5,9.96502120874,0.465660782781,0.084,none_l,True,3.61682820832,right,3.90524074994,True,"[-0.11126757627317108, -0.11135603264163807, -0.11168047987281893]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
5,interactor,6,9.60252716111,0.598362542993,0.168,135_top_u,False,,,3.9149941667,True,"[0.4031206098498854, 0.40298659482141641, 0.40249504395088698]",True,False,lighter,True,0.798570041778,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
6,interactor,7,9.58952243344,0.553284823145,0.0,135_top_u,True,3.61289416649,,3.85773570836,True,"[-0.10302971210394929, -0.10311889808880748, -0.10344602146442672]",False,True,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,empty,8,9.23311116839,0.691417999083,-0.084,none_d,False,,,3.91396487504,True,"[0.021593073467803148, 0.021492849812815296, 0.021125241601859468]",True,True,darker,True,0.536621083273,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
8,interactor,9,9.96325192861,0.80200427947,0.084,135_top_u,True,3.57262912509,,3.85403187503,True,"[0.70395071815653343, 0.70379005901571356, 0.70320078077258907]",False,True,lighter,True,0.543683791766,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
9,empty,10,9.65500035757,0.510638355654,0.084,none_u,False,,,3.85087220836,True,"[-0.0080881386863155269, -0.0081857335168294965, -0.0085436995184485776]",True,True,darker,False,0.655283791712,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
10,interactor,11,9.1568977521,0.666672887609,-0.168,45_bottom_l,False,,,3.93349904171,True,"[-0.2256984113263687, -0.22577673271186205, -0.22606400605470967]",True,False,darker,True,0.489202375058,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
11,interactor,12,10.1353854952,0.746625767237,0.0,135_bottom_r,True,3.60991554148,,3.87087116647,True,"[0.3545676160518314, 0.35443790129579456, 0.35396212330299393]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
12,empty,13,9.47792350599,0.454076802793,0.084,none_r,True,3.61392754153,right,3.87443654169,True,"[-0.13750798024058886, -0.13759411253226839, -0.13791003533166979]",False,False,lighter,True,0.648158625001,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
13,interactor,14,9.31227935449,0.450150996835,0.084,45_top_u,True,3.57620804175,,3.83903150004,True,"[-0.14636899861510688, -0.14645434609847552, -0.1467673903161778]",False,True,lighter,True,0.584173750132,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
14,empty,15,9.64083845838,0.5360881822,-0.168,none_u,False,,,3.83673179173,True,"[-0.50497885629280215, -0.50503244219023202, -0.50522898876288602]",True,True,darker,True,0.599836666603,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
15,empty,16,9.56945229092,0.522936554225,-0.084,none_d,False,,,3.82897325,True,"[-0.35606675020281209, -0.35613352504235685, -0.35637844705508137]",True,True,darker,True,0.721373166889,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
16,empty,17,9.1940253403,0.448743729544,0.084,none_d,True,3.70604170836,left,3.96958062495,True,"[-0.14954141500951623, -0.14962648151629254, -0.14993849514593016]",False,False,lighter,True,0.582639958244,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
17,interactor,18,9.59259025757,0.685577845295,0.168,45_bottom_l,True,3.56932000001,,3.83063258324,True,"[0.6213490277749214, 0.621195684553147, 0.6206332402137773]",False,True,lighter,True,0.48529766663,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
18,empty,19,9.34507728929,0.446285459124,-0.168,none_u,False,,,3.94033379154,True,"[-0.68347562789664928, -0.68351340457849408, -0.68365196486578661]",True,True,darker,True,0.480547083309,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
19,empty,20,9.26467571741,0.632497920804,0.084,none_u,True,3.54468787485,left,3.85769679165,True,"[0.28107125822926671, 0.28094805294539094, 0.28049615090698121]",False,False,lighter,True,0.638910208363,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
