,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.86445538685,0.538301365355,1.668,none_r,True,3.56472829194,left,3.84112087497,True,"[1.0, 1.0, 1.0]",False,False,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
1,interactor,2,9.59323369603,0.55329320018,-0.668,45_bottom_d,True,3.57547437516,,3.84244333324,True,"[-1.0, -1.0, -1.0]",False,True,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,empty,3,9.30258826509,0.634588712817,0.5,none_d,False,,,3.82700649998,True,"[1.0, 1.0, 1.0]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
3,interactor,4,9.5353531963,0.609235905889,-0.084,45_bottom_d,True,3.5839555834,,3.86797575001,True,"[-0.16643088146885365, -0.16651445209862326, -0.16682097903282755]",False,True,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
4,empty,5,9.29725491061,0.323776644837,-0.084,none_d,False,,,3.87175687496,True,"[-0.75592985567160786, -0.75596121518132797, -0.75607623805957069]",True,True,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
5,interactor,6,9.31814385667,1.61614852108,-0.668,135_bottom_r,True,3.59847174981,,3.90230195806,True,"[0.86435922997941539, 0.864184363675506, 0.86354297528127155]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
6,interactor,7,9.69794332141,0.461097568514,-0.668,45_bottom_d,False,,,3.86732000019,True,"[-1.0, -1.0, -1.0]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
7,interactor,8,9.08761957255,1.12488411354,1.084,45_top_u,True,3.63181283348,,3.89195362502,True,"[1.0, 1.0, 1.0]",False,True,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
8,interactor,9,9.30460116484,0.94266757955,0.5,135_bottom_d,True,3.58551662485,,3.83469533315,True,"[1.0, 1.0, 1.0]",False,True,,False,,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
9,interactor,10,9.76513507928,1.04605104507,1.084,45_bottom_l,False,,,3.8464840001,True,"[1.0, 1.0, 1.0]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
