,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,9.33240716374,0.736517188567,-0.168,none_l,True,3.5878758335,left,3.84705166658,True,"[-0.068257915982753326, -0.068350181658164311, -0.068688600965213342]",False,False,darker,True,0.562338375021,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
1,empty,2,9.67671756982,0.797352865049,0.0,none_r,False,,,3.82536237501,True,"[0.47998822565756272, 0.47984740256921143, 0.47933088056074369]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
2,interactor,3,9.70398694943,0.653201201253,0.0,135_bottom_r,True,3.60983450012,,3.87730249995,True,"[0.12919435915929189, 0.12908460540520328, 0.12868204194658972]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
3,empty,4,9.61671115811,0.75616749062,0.168,none_u,False,,,3.93112666672,True,"[0.80213727883443142, 0.80196792344386081, 0.80134674841137232]",True,True,lighter,True,0.39621145837,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,empty,5,9.7761375888,0.766632653633,0.084,none_d,False,,,3.91180966678,True,"[0.61388492596864652, 0.61373224383218838, 0.61317222427357843]",True,True,lighter,True,0.453623750014,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
5,interactor,6,9.49981315957,1.0180022463,-0.168,45_top_r,True,3.60335841659,,3.84804112487,True,"[0.61228810124970789, 0.61213556054183882, 0.6115760597261326]",False,True,darker,True,0.592856416712,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
6,interactor,7,9.34786723789,0.765287853498,-0.168,45_bottom_d,True,3.56204087497,,3.82330604177,True,"[-0.0019475632751241312, -0.0020457019680258925, -0.0024056627909231354]",False,True,darker,True,0.526110833278,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
7,interactor,8,9.18821431853,0.810419790896,-0.168,135_bottom_r,False,,,3.83347741654,True,"[0.10368042949498268, 0.10357293547484159, 0.10317866044628188]",True,False,darker,True,0.513142124983,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
8,empty,9,9.87863473077,0.741620911419,-0.168,none_u,False,,,3.81614320818,True,"[-0.056554849016085984, -0.056648151216176168, -0.056990372370028575]",True,True,darker,True,0.543821125058,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
9,interactor,10,9.44893834968,0.911265138064,-0.084,135_bottom_d,False,,,3.86909762514,True,"[0.55489409587079019, 0.5547466384716897, 0.55420578261602382]",True,False,darker,True,0.724991583498,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
10,interactor,11,9.56601629666,0.758532186666,-0.168,45_top_r,False,,,3.89390108315,True,"[-0.017591234135483691, -0.017687987289795148, -0.018042866125189572]",True,False,darker,True,0.42571616685,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
11,interactor,12,9.44994522391,0.732202574092,0.168,135_top_l,True,3.59655820858,,3.85910979169,True,"[0.7403591092439834, 0.74019522546162664, 0.7395941196244451]",False,True,lighter,True,0.491703166859,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
12,empty,13,9.5863146483,0.824582758119,0.168,none_l,True,3.57323412504,left,3.82398408325,True,"[0.98068747789708444, 0.98050230855893195, 0.97982312988469045]",False,False,darker,False,0.485990874935,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
13,interactor,14,9.72241163612,0.800781929385,-0.084,135_top_l,True,3.57253070828,,3.83484404185,True,"[0.28176054101642767, 0.28163727468371547, 0.28118514872557898]",False,True,darker,True,0.470781291369,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
