,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,9.47329140865,0.508320305911,0.584,135_bottom_d,False,,,3.96047300007,True,"[1.0, 1.0, 1.0]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
1,empty,2,9.71640716652,0.659007274563,0.332,none_u,False,,,3.92748537497,True,"[0.97654022929979045, 0.97635542727778968, 0.97567759587464153]",True,True,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
2,interactor,3,9.29663374792,0.622621830936,0.5,135_bottom_r,False,,,3.86267941678,True,"[1.0, 1.0, 1.0]",True,False,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
3,empty,4,9.21830358867,0.454988435282,0.584,none_l,True,3.58636112488,left,3.84943695832,True,"[1.0, 1.0, 1.0]",False,False,,False,,right,down,"(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
4,interactor,5,8.98867684421,0.406610688603,0.416,45_bottom_d,True,3.58767587505,,3.85233183368,True,"[0.54319333107649403, 0.54304690999816985, 0.54250985524142781]",False,True,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
5,interactor,6,9.17208359388,0.409010503359,0.416,45_bottom_d,False,,,3.85093895812,True,"[0.54922413566301986, 0.54907718044455933, 0.54853816652658116]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
6,empty,7,9.38173443813,0.47271404604,0.332,none_l,True,3.57178004133,right,3.83344149985,True,"[0.4983578635543342, 0.49821541349221077, 0.4976929239412744]",False,False,,False,,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
7,empty,8,9.26173722964,0.501480236123,0.5,none_r,False,,,3.84263437497,True,"[1.0, 1.0, 1.0]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
8,interactor,9,9.4776683774,0.523368932352,0.416,45_bottom_d,False,,,3.83582683327,True,"[0.8415332282324397, 0.84136038359636833, 0.84072641043457352]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
9,empty,10,9.61998905211,0.665394389006,0.332,none_u,True,3.56348449993,left,3.82602087501,True,"[0.99336363083768719, 0.99317733878996006, 0.99249404215316317]",False,False,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
10,interactor,11,9.23671690025,0.660076494939,0.584,45_top_u,True,3.57877499983,,3.8413010831,True,"[1.0, 1.0, 1.0]",False,True,lighter,True,0.53212879179,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
11,interactor,12,9.76784089628,0.399960615373,0.668,135_bottom_d,False,,,3.82928691688,True,"[1.0, 1.0, 1.0]",True,False,lighter,True,0.482817791402,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
12,empty,13,9.73923407936,0.460430217522,0.416,none_d,False,,,3.84622020833,True,"[0.67948222063767916, 0.67932372863830914, 0.67874239920718149]",True,True,lighter,True,0.403763333103,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
13,interactor,14,9.09238545337,0.489494338686,0.668,135_top_u,False,,,3.84597154171,True,"[1.0, 1.0, 1.0]",True,False,lighter,True,0.604338583071,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
14,interactor,15,9.56158096133,0.575233439417,0.584,45_top_r,True,3.63341749995,,3.88263554173,True,"[1.0, 1.0, 1.0]",False,True,lighter,True,0.500824874965,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
15,empty,16,9.36526033964,0.600384675218,0.668,none_l,True,3.63282245817,right,3.92191312485,True,"[1.0, 1.0, 1.0]",False,False,lighter,True,0.518654666608,right,up,"(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
16,empty,17,9.40849651481,0.631208260986,0.416,none_d,False,,,3.87653137511,True,"[1.0, 1.0, 1.0]",True,True,lighter,True,0.483436874812,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
17,interactor,18,9.54024038361,0.54982500561,0.668,135_bottom_d,True,3.61973404163,,3.881891625,True,"[1.0, 1.0, 1.0]",False,True,lighter,True,0.430044166744,up,left,"(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
18,empty,19,9.37283760872,0.629287874606,0.668,none_r,True,3.58365645818,left,3.8596414167,True,"[1.0, 1.0, 1.0]",False,False,lighter,True,0.394824249903,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
19,interactor,20,9.74177059353,0.650773056201,0.416,45_top_u,False,,,3.86859204178,True,"[1.0, 1.0, 1.0]",True,False,lighter,True,0.459581083152,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)"
