,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,empty,1,8.94512909718,-0.0367094266785,-0.335,none_u,True,3.60131300008,right,3.86806100002,True,"[-0.37170942667846102, -0.37170942667846102, -0.37170942667846102]",False,False,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
1,interactor,2,9.86813657811,0.271408182705,0.335,45_bottom_l,False,,,3.86725954176,True,"[0.60640818270513197, 0.60640818270513197, 0.60640818270513197]",True,False,,False,,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
2,empty,3,10.1086449187,0.167870988791,0.335,none_u,True,3.60675945831,right,3.93558079144,True,"[0.5028709887907209, 0.5028709887907209, 0.5028709887907209]",False,False,,False,,down,right,"(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
3,empty,4,9.29449377197,-0.147433987594,0.0,none_d,True,3.61625099997,left,3.87745770812,True,"[-0.14743398759374635, -0.14743398759374635, -0.14743398759374635]",False,False,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
4,empty,5,9.39551844876,-0.17991625743,-0.335,none_r,False,,,3.8761002915,True,"[-0.5149162574302909, -0.5149162574302909, -0.5149162574302909]",True,True,,False,,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
5,interactor,6,9.58690423692,0.0483869105419,-0.335,135_bottom_d,False,,,3.86246537487,True,"[-0.28661308945806774, -0.28661308945806774, -0.28661308945806774]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
6,interactor,7,9.65698517999,0.0716384525543,-0.168,135_bottom_d,False,,,3.86724654166,True,"[-0.0963615474456921, -0.0963615474456921, -0.0963615474456921]",True,False,,False,,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)"
7,interactor,8,9.64502564058,-0.00222685228142,0.0,135_bottom_r,True,3.54631066672,,3.81046616682,True,"[-0.0022268522814153369, -0.0022268522814153369, -0.0022268522814153369]",False,True,,False,,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
8,interactor,9,9.26201870993,-0.00665414193172,0.168,45_top_u,True,3.58007949986,,3.84711337509,True,"[0.16134585806828353, 0.16134585806828353, 0.16134585806828353]",False,True,,False,,down,left,"(1, 0)","(0, 0)","(0, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)"
9,interactor,10,9.36456955404,0.168693848294,0.335,45_bottom_d,True,3.59160337504,,3.85485729179,True,"[0.50369384829355957, 0.50369384829355957, 0.50369384829355957]",False,True,,False,,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)"
