,trial_type,trial,ball_speed,ball_start_color,ball_color_change,interactor,bounce,bounce_moment,random_bounce_direction,target_onset,ball_change,target_color,abs_congruent,sim_congruent,response,accuracy,rt,start_pos,end_pos,abs_rfup,abs_rfright,abs_rfdown,abs_rfleft,sim_rfup,sim_rfright,sim_rfdown,sim_rfleft
0,interactor,1,9.27001088978,0.853063089124,0.168,45_top_r,False,,,3.61921287491,True,"[1.0, 1.0, 1.0]",True,False,lighter,True,0.566797208274,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
1,interactor,2,9.39561491451,0.669173148253,0.168,45_bottom_l,False,,,3.60106924991,True,"[0.57985648284071112, 0.57970681455704298, 0.5791578494449412]",True,False,darker,False,0.68231462501,right,left,"(0, 0)","(0, 0)","(0, 0)","(1, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)"
2,interactor,3,9.63616137216,0.678737373871,0.084,135_bottom_r,False,,,3.5931892083,True,"[0.39417890386616383, 0.39404568079239666, 0.39355703471566339]",True,False,darker,False,0.830379333114,left,right,"(0, 0)","(1, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)"
3,empty,4,9.35068156127,0.840574726843,-0.084,none_u,False,,,3.59358258336,True,"[0.37900273874416168, 0.37887085980263802, 0.37838714383995442]",True,True,darker,True,0.782106666593,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)"
4,empty,5,9.54109610297,0.66927128139,0.0,none_r,True,3.37322625006,left,3.58678304171,True,"[0.16741922087640249, 0.16730608159845195, 0.16689110044892175]",False,False,darker,,0.745386125054,left,up,"(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
5,empty,6,9.36694567175,0.761127662625,0.0,none_d,True,3.37166941678,left,3.58179604192,True,"[0.39021185260179547, 0.39007898088434834, 0.38959162353998011]",False,False,darker,,0.709812208079,up,right,"(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)"
6,empty,7,9.4106554513,0.54299483924,0.168,none_d,False,,,3.58223708346,True,"[0.26772890450843478, 0.26760688093862917, 0.26715931328410347]",True,True,darker,False,0.599249250023,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
7,empty,8,9.67518567821,0.841550239587,0.0,none_r,True,3.36686824984,right,3.57790770824,True,"[0.59090778683213241, 0.59075713974954525, 0.59020458452171698]",False,False,darker,,0.815833833069,left,down,"(0, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)"
8,empty,9,9.975470395,0.727812772853,-0.084,none_d,False,,,3.59382283338,True,"[0.10697090433051093, 0.10686311887750044, 0.1064677749085281]",True,True,darker,True,1.11090237484,up,down,"(0, 0)","(0, 0)","(1, 1)","(0, 0)","(0, 0)","(0, 0)","(1, 1)","(0, 0)"
9,interactor,10,9.40185125451,0.769443554413,0.0,135_top_u,False,,,3.59940158343,True,"[0.41072843589730024, 0.41059374705405549, 0.41009972471265166]",True,False,,False,,down,up,"(1, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 1)","(1, 0)","(0, 0)","(0, 0)"
